accepted_taxon_key,order_name,family_name,genus_name,species_name_provided,authority_name_provided,search_species_name,gbif_species_name,confidence,status,match_type,rank,source
10193575,Lepidoptera,Depressariidae,Chlamydastis,Chlamydastis jimlewisi,,Chlamydastis jimlewisi,Chlamydastis jimlewisi,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
10438346,Lepidoptera,Depressariidae,Chlamydastis,Chlamydastis jimmilleri,,Chlamydastis jimmilleri,Chlamydastis jimmilleri,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
10496155,Lepidoptera,Depressariidae,Chlamydastis,Chlamydastis johnnoyesi,,Chlamydastis johnnoyesi,Chlamydastis johnnoyesi,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
9921812,Lepidoptera,Depressariidae,Chlamydastis,Chlamydastis juanmatai,,Chlamydastis juanmatai,Chlamydastis juanmatai,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
10179943,Lepidoptera,Depressariidae,Chlamydastis,Chlamydastis manuelzumbadoi,,Chlamydastis manuelzumbadoi,Chlamydastis manuelzumbadoi,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
10680586,Lepidoptera,Depressariidae,Chlamydastis,Chlamydastis marianofigueresi,,Chlamydastis marianofigueresi,Chlamydastis marianofigueresi,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
10316343,Lepidoptera,Depressariidae,Chlamydastis,Chlamydastis montywoodi,,Chlamydastis montywoodi,Chlamydastis montywoodi,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
11547138,Lepidoptera,Depressariidae,Chlamydastis,Chlamydastis munifigueresae,,Chlamydastis munifigueresae,Chlamydastis munifigueresae,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
9864287,Lepidoptera,Depressariidae,Chlamydastis,Chlamydastis noramartinae,,Chlamydastis noramartinae,Chlamydastis noramartinae,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1841357,Lepidoptera,Depressariidae,Chlamydastis,Chlamydastis orion,,Chlamydastis orion,Chlamydastis orion,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
9914420,Lepidoptera,Depressariidae,Chlamydastis,Chlamydastis paulhansoni,,Chlamydastis paulhansoni,Chlamydastis paulhansoni,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
10100361,Lepidoptera,Depressariidae,Chlamydastis,Chlamydastis paulthiaucourti,,Chlamydastis paulthiaucourti,Chlamydastis paulthiaucourti,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1841361,Lepidoptera,Depressariidae,Chlamydastis,Chlamydastis phytoptera,,Chlamydastis phytoptera,Chlamydastis phytoptera,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
-1,NotAvail,NotAvail,NotAvail,Chlamydastis powelli,,Chlamydastis powelli,NotAvail,100,NotAvail,NONE,NotAvail,London03Nov2023
10215577,Lepidoptera,Depressariidae,Chlamydastis,Chlamydastis ronaldzunigai,,Chlamydastis ronaldzunigai,Chlamydastis ronaldzunigai,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1841337,Lepidoptera,Depressariidae,Chlamydastis,Chlamydastis trastices,,Chlamydastis trastices,Chlamydastis trastices,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1841421,Lepidoptera,Depressariidae,Chlamydastis,Chlamydastis tryphon,,Chlamydastis tryphon,Chlamydastis tryphon,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
10576165,Lepidoptera,Depressariidae,Chlamydastis,Chlamydastis vitorbeckeri,,Chlamydastis vitorbeckeri,Chlamydastis vitorbeckeri,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1841388,Lepidoptera,Depressariidae,Chlamydastis,Chlamydastis vividella,,Chlamydastis vividella,Chlamydastis vividella,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
10338377,Lepidoptera,Depressariidae,Chlamydastis,Chlamydastis willsflowersi,,Chlamydastis willsflowersi,Chlamydastis willsflowersi,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1837120,Lepidoptera,Depressariidae,Gonioterma,Gonioterma anna,,Gonioterma anna,Gonioterma anna,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1837127,Lepidoptera,Depressariidae,Gonioterma,Gonioterma compressa,,Gonioterma compressa,Gonioterma compressa,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1837136,Lepidoptera,Depressariidae,Gonioterma,Gonioterma conchita,,Gonioterma conchita,Gonioterma conchita,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1836326,Lepidoptera,Depressariidae,Stenoma,Gonioterma gubernata,,Gonioterma gubernata,Stenoma gubernata,99,SYNONYM,EXACT,SPECIES,London03Nov2023
10271377,Lepidoptera,Depressariidae,Gonioterma,Gonioterma halmas,,Gonioterma halmas,Gonioterma halmas,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
10755766,Lepidoptera,Depressariidae,Gonioterma,Gonioterma ignobilis,,Gonioterma ignobilis,Gonioterma ignobilis,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
9256776,Lepidoptera,Depressariidae,Gonioterma,Gonioterma latipennis,,Gonioterma latipennis,Gonioterma latipennis,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
5120007,Lepidoptera,Depressariidae,Loxotoma,Loxotoma elegans,,Loxotoma elegans,Loxotoma elegans,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1835503,Lepidoptera,Depressariidae,Phelotropa,Phelotropa oenodes,,Phelotropa oenodes,Phelotropa oenodes,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
9321959,Lepidoptera,Depressariidae,Rectiostoma,Rectiostoma annemayae,,Rectiostoma annemayae,Rectiostoma annemayae,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
9634894,Lepidoptera,Depressariidae,Rectiostoma,Rectiostoma eowilsoni,,Rectiostoma eowilsoni,Rectiostoma eowilsoni,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
9328467,Lepidoptera,Depressariidae,Rectiostoma,Rectiostoma philipmayi,,Rectiostoma philipmayi,Rectiostoma philipmayi,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1836560,Lepidoptera,Depressariidae,Stenoma,Stenoma acrosticta,,Stenoma acrosticta,Stenoma melanixa,99,SYNONYM,EXACT,SPECIES,London03Nov2023
1836160,Lepidoptera,Depressariidae,Stenoma,Stenoma adytodes,,Stenoma adytodes,Stenoma adytodes,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1836714,Lepidoptera,Depressariidae,Stenoma,Stenoma aterpes,,Stenoma aterpes,Stenoma aterpes,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1836584,Lepidoptera,Depressariidae,Stenoma,Stenoma baliandra,,Stenoma baliandra,Stenoma baliandra,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1836188,Lepidoptera,Depressariidae,Stenoma,Stenoma byssina,,Stenoma byssina,Stenoma byssina,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1836455,Lepidoptera,Depressariidae,Stenoma,Stenoma catenifer,,Stenoma catenifer,Stenoma catenifer,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1836425,Lepidoptera,Depressariidae,Stenoma,Stenoma cathosiota,,Stenoma cathosiota,Stenoma cathosiota,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1836570,Lepidoptera,Depressariidae,Stenoma,Stenoma comma,,Stenoma comma,Stenoma comma,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1836502,Lepidoptera,Depressariidae,Stenoma,Stenoma completella,,Stenoma completella,Stenoma completella,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1836248,Lepidoptera,Depressariidae,Stenoma,Stenoma consociella,,Stenoma consociella,Stenoma consociella,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
-1,NotAvail,NotAvail,NotAvail,Stenoma convexicostata,,Stenoma convexicostata,NotAvail,100,NotAvail,NONE,NotAvail,London03Nov2023
1836279,Lepidoptera,Depressariidae,Stenoma,Stenoma exarata,,Stenoma exarata,Stenoma exarata,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1836751,Lepidoptera,Depressariidae,Stenoma,Stenoma fenestra,,Stenoma fenestra,Stenoma nebrita,99,SYNONYM,EXACT,SPECIES,London03Nov2023
-1,NotAvail,NotAvail,NotAvail,Stenoma fraternella,,Stenoma fraternella,NotAvail,100,NotAvail,NONE,NotAvail,London03Nov2023
1836356,Lepidoptera,Depressariidae,Stenoma,Stenoma graphica,,Stenoma graphica,Stenoma graphica,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1836405,Lepidoptera,Depressariidae,Stenoma,Stenoma immunda,,Stenoma immunda,Stenoma immunda,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1836327,Lepidoptera,Depressariidae,Stenoma,Stenoma leucana,,Stenoma leucana,Stenoma leucana,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1836730,Lepidoptera,Depressariidae,Stenoma,Stenoma luctifica,,Stenoma luctifica,Stenoma luctifica,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1836560,Lepidoptera,Depressariidae,Stenoma,Stenoma melanixa,,Stenoma melanixa,Stenoma melanixa,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1836751,Lepidoptera,Depressariidae,Stenoma,Stenoma nebrita,,Stenoma nebrita,Stenoma nebrita,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1836464,Lepidoptera,Depressariidae,Stenoma,Stenoma patens,,Stenoma patens,Stenoma patens,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
10197721,Lepidoptera,Depressariidae,Stenoma,Stenoma sexmaculata,,Stenoma sexmaculata,Stenoma sexmaculata,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
-1,NotAvail,NotAvail,NotAvail,Stenoma sp.1,,Stenoma sp.1,NotAvail,100,NotAvail,NONE,NotAvail,London03Nov2023
-1,NotAvail,NotAvail,NotAvail,Stenoma sp.2,,Stenoma sp.2,NotAvail,100,NotAvail,NONE,NotAvail,London03Nov2023
-1,NotAvail,NotAvail,NotAvail,Stenoma sp.3,,Stenoma sp.3,NotAvail,100,NotAvail,NONE,NotAvail,London03Nov2023
1836389,Lepidoptera,Depressariidae,Stenoma,Stenoma sublimbata,,Stenoma sublimbata,Stenoma sublimbata,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
-1,NotAvail,NotAvail,NotAvail,Stenomatinae sp.01,,Stenomatinae sp.01,NotAvail,100,NotAvail,NONE,NotAvail,London03Nov2023
-1,NotAvail,NotAvail,NotAvail,Stenomatinae sp.02,,Stenomatinae sp.02,NotAvail,100,NotAvail,NONE,NotAvail,London03Nov2023
-1,NotAvail,NotAvail,NotAvail,Stenomatinae sp.03,,Stenomatinae sp.03,NotAvail,100,NotAvail,NONE,NotAvail,London03Nov2023
-1,NotAvail,NotAvail,NotAvail,Stenomatinae sp.04,,Stenomatinae sp.04,NotAvail,100,NotAvail,NONE,NotAvail,London03Nov2023
-1,NotAvail,NotAvail,NotAvail,Stenomatinae sp.05,,Stenomatinae sp.05,NotAvail,100,NotAvail,NONE,NotAvail,London03Nov2023
-1,NotAvail,NotAvail,NotAvail,Timocratica butyrota,,Timocratica butyrota,NotAvail,100,NotAvail,NONE,NotAvail,London03Nov2023
1834386,Lepidoptera,Depressariidae,Timocratica,Timocratica grandis,,Timocratica grandis,Timocratica grandis,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1834424,Lepidoptera,Depressariidae,Timocratica,Timocratica leucocapna,,Timocratica leucocapna,Timocratica leucocapna,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1834392,Lepidoptera,Depressariidae,Timocratica,Timocratica loxotoma,,Timocratica loxotoma,Timocratica loxotoma,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1834381,Lepidoptera,Depressariidae,Timocratica,Timocratica parvifusca,,Timocratica parvifusca,Timocratica parvifusca,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
11135661,Lepidoptera,Stathmopodidae,Tinaegeria,Tinaegeria carlosalvaradoi,,Tinaegeria carlosalvaradoi,Tinaegeria carlosalvaradoi,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1837141,Lepidoptera,Stathmopodidae,Tinaegeria,Tinaegeria fasciata,,Tinaegeria fasciata,Tinaegeria fasciata,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
11171199,Lepidoptera,Stathmopodidae,Tinaegeria,Tinaegeria romanmacayai,,Tinaegeria romanmacayai,Tinaegeria romanmacayai,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
10436666,Lepidoptera,Eupterotidae,Neopreptos,Neopreptos clayzamenia,,Neopreptos clayzamenia,Neopreptos clayzamenia,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1869242,Lepidoptera,Eupterotidae,Neopreptos,Neopreptos marathusa,,Neopreptos marathusa,Neopreptos marathusa,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1777475,Lepidoptera,Euteliidae,Eutelia,Eutelia ablatrix,,Eutelia ablatrix,Eutelia ablatrix,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1777462,Lepidoptera,Euteliidae,Eutelia,Eutelia abscondens,,Eutelia abscondens,Eutelia abscondens,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1777551,Lepidoptera,Euteliidae,Eutelia,Eutelia apithana,,Eutelia apithana,Eutelia apithana,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1777484,Lepidoptera,Euteliidae,Eutelia,Eutelia auratrix,,Eutelia auratrix,Eutelia auratrix,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1777431,Lepidoptera,Euteliidae,Eutelia,Eutelia chrysotermina,,Eutelia chrysotermina,Eutelia chrysotermina,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1777463,Lepidoptera,Euteliidae,Eutelia,Eutelia furcata,,Eutelia furcata,Eutelia furcata,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1780673,Lepidoptera,Euteliidae,Paectes,Paectes canofusa,,Paectes canofusa,Paectes canofusa,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1780632,Lepidoptera,Euteliidae,Paectes,Paectes chrysoplaga,,Paectes chrysoplaga,Paectes chrysoplaga,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1780668,Lepidoptera,Euteliidae,Paectes,Paectes circularis,,Paectes circularis,Paectes oculatrix,99,SYNONYM,EXACT,SPECIES,London03Nov2023
1780656,Lepidoptera,Euteliidae,Paectes,Paectes curvilinea,,Paectes curvilinea,Paectes curvilinea,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1780670,Lepidoptera,Euteliidae,Paectes,Paectes devincta,,Paectes devincta,Paectes devincta,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1780678,Lepidoptera,Euteliidae,Paectes,Paectes fovifera,,Paectes fovifera,Paectes fovifera,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1780657,Lepidoptera,Euteliidae,Paectes,Paectes fuscescens,,Paectes fuscescens,Paectes fuscescens,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1780625,Lepidoptera,Euteliidae,Paectes,Paectes griseifusa,,Paectes griseifusa,Paectes griseifusa,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1780675,Lepidoptera,Euteliidae,Paectes,Paectes lunodes,,Paectes lunodes,Paectes lunodes,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1780618,Lepidoptera,Euteliidae,Paectes,Paectes nana,,Paectes nana,Paectes arcigera,99,SYNONYM,EXACT,SPECIES,London03Nov2023
1780654,Lepidoptera,Euteliidae,Paectes,Paectes nubifera,,Paectes nubifera,Paectes nubifera,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1780626,Lepidoptera,Euteliidae,Paectes,Paectes phloisma,,Paectes phloisma,Paectes phloisma,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1760966,Lepidoptera,Euteliidae,Thyriodes,Thyriodes dissimilis,,Thyriodes dissimilis,Thyriodes dissimilis,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1760964,Lepidoptera,Euteliidae,Thyriodes,Thyriodes flabellum,,Thyriodes flabellum,Thyriodes flabellum,98,ACCEPTED,EXACT,SPECIES,London03Nov2023
1760965,Lepidoptera,Euteliidae,Thyriodes,Thyriodes terrabensis,,Thyriodes terrabensis,Thyriodes terrabensis,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1847950,Lepidoptera,Gelechiidae,Battaristis,Battaristis emissurella,,Battaristis emissurella,Battaristis emissurella,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
9033137,Lepidoptera,Gelechiidae,Beltheca,Beltheca oni,,Beltheca oni,Beltheca oni,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1851938,Lepidoptera,Gelechiidae,Compsolechia,Compsolechia ambusta,,Compsolechia ambusta,Compsolechia ambusta,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1851989,Lepidoptera,Gelechiidae,Compsolechia,Compsolechia epibola,,Compsolechia epibola,Compsolechia epibola,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1851990,Lepidoptera,Gelechiidae,Compsolechia,Compsolechia repandella,,Compsolechia repandella,Compsolechia repandella,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1852008,Lepidoptera,Gelechiidae,Compsolechia,Compsolechia stelliferella,,Compsolechia stelliferella,Compsolechia stelliferella,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1851950,Lepidoptera,Gelechiidae,Compsolechia,Compsolechia suffectella,,Compsolechia suffectella,Compsolechia suffectella,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1850682,Lepidoptera,Gelechiidae,Haplochela,Haplochela trigonota,,Haplochela trigonota,Haplochela trigonota,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1848249,Lepidoptera,Gelechiidae,Semophylax,Semophylax apicepuncta,,Semophylax apicepuncta,Semophylax apicepuncta,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1849209,Lepidoptera,Gelechiidae,Sitotroga,Sitotroga cerealella,,Sitotroga cerealella,Sitotroga cerealella,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1847164,Lepidoptera,Gelechiidae,Dichomeris,Dichomeris antisticha,,Dichomeris antisticha,Dichomeris antisticha,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1847025,Lepidoptera,Gelechiidae,Dichomeris,Dichomeris costalis,,Dichomeris costalis,Dichomeris costalis,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1846920,Lepidoptera,Gelechiidae,Dichomeris,Dichomeris crossospila,,Dichomeris crossospila,Dichomeris crossospila,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1847300,Lepidoptera,Gelechiidae,Dichomeris,Dichomeris designatella,,Dichomeris designatella,Dichomeris designatella,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1847461,Lepidoptera,Gelechiidae,Dichomeris,Dichomeris famulata,,Dichomeris famulata,Dichomeris famulata,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
11870802,Lepidoptera,Gelechiidae,Helcystogramma,Dichomeris jugata,,Dichomeris jugata,Helcystogramma jugata,99,SYNONYM,EXACT,SPECIES,London03Nov2023
1847249,Lepidoptera,Gelechiidae,Dichomeris,Dichomeris ligulella,,Dichomeris ligulella,Dichomeris ligulella,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
1847144,Lepidoptera,Gelechiidae,Dichomeris,Dichomeris santarosensis,,Dichomeris santarosensis,Dichomeris santarosensis,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
-1,NotAvail,NotAvail,NotAvail,Dichomeris sp.1,,Dichomeris sp.1,NotAvail,100,NotAvail,NONE,NotAvail,London03Nov2023
-1,NotAvail,NotAvail,NotAvail,Dichomeris sp.2,,Dichomeris sp.2,NotAvail,100,NotAvail,NONE,NotAvail,London03Nov2023
-1,NotAvail,NotAvail,NotAvail,Dichomeris sp.3,,Dichomeris sp.3,NotAvail,100,NotAvail,NONE,NotAvail,London03Nov2023
-1,NotAvail,NotAvail,NotAvail,Dichomeris sp.4,,Dichomeris sp.4,NotAvail,100,NotAvail,NONE,NotAvail,London03Nov2023
1850552,Lepidoptera,Gelechiidae,Helcystogramma,Helcystogramma luminosa,,Helcystogramma luminosa,Helcystogramma luminosum,97,ACCEPTED,FUZZY,SPECIES,London03Nov2023
1850574,Lepidoptera,Gelechiidae,Helcystogramma,Helcystogramma perceptella,,Helcystogramma perceptella,Helcystogramma perceptella,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
-1,NotAvail,NotAvail,NotAvail,Apotactis citrophila,,Apotactis citrophila,NotAvail,100,NotAvail,NONE,NotAvail,London03Nov2023
1852330,Lepidoptera,Gelechiidae,Charistica,Charistica walkeri,,Charistica walkeri,Charistica walkeri,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
-1,NotAvail,NotAvail,NotAvail,Chionodes nephelophracta,,Chionodes nephelophracta,NotAvail,100,NotAvail,NONE,NotAvail,London03Nov2023
1851874,Lepidoptera,Gelechiidae,Commatica,Commatica falcatella,,Commatica falcatella,Commatica falcatella,99,ACCEPTED,EXACT,SPECIES,London03Nov2023
-1,NotAvail,NotAvail,NotAvail,Commatica ophitis,,Commatica ophitis,NotAvail,100,NotAvail,NONE,NotAvail,London03Nov2023
