accepted_taxon_key,order_name,family_name,genus_name,species_name_provided,authority_name_provided,search_species_name,gbif_species_name,confidence,status,match_type,rank,source
1785442,Lepidoptera,Noctuidae,Emarginea,Emarginea combusta,,Emarginea combusta,Emarginea combusta,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1785441,Lepidoptera,Noctuidae,Emarginea,Emarginea gammophora,,Emarginea gammophora,Emarginea gammophora,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1785440,Lepidoptera,Noctuidae,Emarginea,Emarginea niphoplaga,,Emarginea niphoplaga,Emarginea niphoplaga,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
9636267,Lepidoptera,Noctuidae,Emarginea,Emarginea percara,,Emarginea percara,Emarginea percara,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1787666,Lepidoptera,Noctuidae,Hadena,Leucosigma albimixta,,Leucosigma albimixta,Hadena albimixta,99,SYNONYM,EXACT,SPECIES,London19Oct2023
1767104,Lepidoptera,Noctuidae,Chytonix,Leucosigma chloe,,Leucosigma chloe,Chytonix chloe,99,SYNONYM,EXACT,SPECIES,London19Oct2023
10381671,Lepidoptera,Noctuidae,Leucosigma,Leucosigma poolei,,Leucosigma poolei,Leucosigma poolei,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1788042,Lepidoptera,Noctuidae,Leucosigma,Leucosigma reletiva,,Leucosigma reletiva,Leucosigma reletiva,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
9906878,Lepidoptera,Noctuidae,Leucosigma,Leucosigma schausi,,Leucosigma schausi,Leucosigma schausi,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
10546540,Lepidoptera,Noctuidae,Leucosigma,Leucosigma solisae,,Leucosigma solisae,Leucosigma solisae,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1788041,Lepidoptera,Noctuidae,Leucosigma,Leucosigma uncifera,,Leucosigma uncifera,Leucosigma uncifera,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1770659,Lepidoptera,Noctuidae,Metaponpneumata,Metaponpneumata rogenhoferi,,Metaponpneumata rogenhoferi,Metaponpneumata rogenhoferi,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1791862,Lepidoptera,Noctuidae,Neogalea,Neogalea esula,,Neogalea esula,Neogalea sunia,99,SYNONYM,EXACT,SPECIES,London19Oct2023
1791862,Lepidoptera,Noctuidae,Neogalea,Neogalea sunia,,Neogalea sunia,Neogalea sunia,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1793937,Lepidoptera,Noctuidae,Nephelistis,Nephelistis differens,,Nephelistis differens,Nephelistis differens,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1793938,Lepidoptera,Noctuidae,Nephelistis,Nephelistis noctivaga,,Nephelistis noctivaga,Nephelistis noctivaga,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1793926,Lepidoptera,Noctuidae,Nephelistis,Nephelistis spadix,,Nephelistis spadix,Nephelistis spadix,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1793935,Lepidoptera,Noctuidae,Nephelistis,Nephelistis stellans,,Nephelistis stellans,Nephelistis stellans,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1793936,Lepidoptera,Noctuidae,Nephelistis,Nephelistis vellerea,,Nephelistis vellerea,Nephelistis vellerea,98,ACCEPTED,EXACT,SPECIES,London19Oct2023
-1,NotAvail,NotAvail,NotAvail,Paratrachea celestina,,Paratrachea celestina,NotAvail,100,NotAvail,NONE,NotAvail,London19Oct2023
1780163,Lepidoptera,Noctuidae,Paratrachea,Paratrachea laches,,Paratrachea laches,Paratrachea laches,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
-1,NotAvail,NotAvail,NotAvail,Paratrachea lineata,,Paratrachea lineata,NotAvail,100,NotAvail,NONE,NotAvail,London19Oct2023
-1,NotAvail,NotAvail,NotAvail,Paratrachea viridipicta,,Paratrachea viridipicta,NotAvail,100,NotAvail,NONE,NotAvail,London19Oct2023
5110970,Lepidoptera,Noctuidae,Angitia,Polionycta attina,,Polionycta attina,Angitia attina,99,SYNONYM,EXACT,SPECIES,London19Oct2023
1783341,Lepidoptera,Noctuidae,Satrapodes,Satrapodes dosca,,Satrapodes dosca,Satrapodes dosca,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1774790,Lepidoptera,Noctuidae,Amyna,Amyna amplificans,,Amyna amplificans,Amyna amplificans,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
6115946,Lepidoptera,Noctuidae,Amyna,Amyna axis,,Amyna axis,Amyna axis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
6115953,Lepidoptera,Noctuidae,Amyna,Amyna stricta,,Amyna stricta,Amyna stricta,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1774795,Lepidoptera,Noctuidae,Amyna,Amyna tristis,,Amyna tristis,Amyna tristis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1767583,Lepidoptera,Noctuidae,Bagisara,Bagisara albicosta,,Bagisara albicosta,Bagisara albicosta,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1767575,Lepidoptera,Noctuidae,Bagisara,Bagisara avangareza,,Bagisara avangareza,Bagisara avangareza,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1767568,Lepidoptera,Noctuidae,Bagisara,Bagisara demura,,Bagisara demura,Bagisara demura,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
9567770,Lepidoptera,Noctuidae,Bagisara,Bagisara laverna,,Bagisara laverna,Bagisara laverna,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1767578,Lepidoptera,Noctuidae,Bagisara,Bagisara pacifica,,Bagisara pacifica,Bagisara pacifica,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1767571,Lepidoptera,Noctuidae,Bagisara,Bagisara repanda,,Bagisara repanda,Bagisara repanda,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
9511345,Lepidoptera,Noctuidae,Bagisara,Bagisara tristicta,,Bagisara tristicta,Bagisara tristicta,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
