Family,Genus,Species,Subspecies,species_name_provided,authority_name_provided
Noctuidae,Eriopyga,Poole01,,Eriopyga Poole01,
Noctuidae,Eriopyga,pyropis,,Eriopyga pyropis,
Noctuidae,Eriopyga,renalba,,Eriopyga renalba,
Noctuidae,Eriopyga,rhadata,,Eriopyga rhadata,
Noctuidae,Eriopyga,rubricundula,,Eriopyga rubricundula,
Noctuidae,Eriopyga,rubripuncta,,Eriopyga rubripuncta,
Noctuidae,Eriopyga,tertulia,,Eriopyga tertulia,
Noctuidae,Eriopyga,volcania,,Eriopyga volcania,
Noctuidae,Fracara,viridata,,Fracara viridata,
Noctuidae,Hampsonodes,aperiens,,Hampsonodes aperiens,
Noctuidae,Hampsonodes,confisa,,Hampsonodes confisa,
Noctuidae,Hampsonodes,dislocata,,Hampsonodes dislocata,
Noctuidae,Hampsonodes,fuscoma,,Hampsonodes fuscoma,
Noctuidae,Hampsonodes,grandimacula,,Hampsonodes grandimacula,
Noctuidae,Hampsonodes,latifascia,,Hampsonodes latifascia,
Noctuidae,Hampsonodes,maneti,,Hampsonodes maneti,
Noctuidae,Hampsonodes,mastoides,,Hampsonodes mastoides,
Noctuidae,Hampsonodes,melagona,,Hampsonodes melagona,
Noctuidae,Hampsonodes,naevia,,Hampsonodes naevia,
Noctuidae,Hampsonodes,orbica,,Hampsonodes orbica,
Noctuidae,Heterochroma,amphion,,Heterochroma amphion,
Noctuidae,Heterochroma,bellona,,Heterochroma bellona,
Noctuidae,Heterochroma,beryllus,,Heterochroma beryllus,
Noctuidae,Heterochroma,eriopioides,,Heterochroma eriopioides,
Noctuidae,Heterochroma,exundata,,Heterochroma exundata,
Noctuidae,Heterochroma,fractilinea,,Heterochroma fractilinea,
Noctuidae,Heterochroma,hypatia,,Heterochroma hypatia,
Noctuidae,Heterochroma,ligata,,Heterochroma ligata,
Noctuidae,Heterochroma,lineata,,Heterochroma lineata,
Noctuidae,Heterochroma,luma,,Heterochroma luma,
Noctuidae,Heterochroma,sarepta,,Heterochroma sarepta,
Noctuidae,Heterochroma,singularis,,Heterochroma singularis,
Noctuidae,Heterodelta,nea,,Heterodelta nea,
Noctuidae,Hypotrix,carneigera,,Hypotrix carneigera,
Noctuidae,Hypotrix,carnetincta,,Hypotrix carnetincta,
Noctuidae,Hypotrix,cirphidia,,Hypotrix cirphidia,
Noctuidae,Hypotrix,duruscula,,Hypotrix duruscula,
Noctuidae,Hypotrix,euryte,,Hypotrix euryte,
Noctuidae,Hypotrix,nigripars,,Hypotrix nigripars,
Noctuidae,Leioselia,egregia,,Leioselia egregia,
Noctuidae,Lepteria,viridicosta,,Lepteria viridicosta,
Noctuidae,Leucania,dorsalis,,Leucania dorsalis,
Noctuidae,Leucania,humidicola,,Leucania humidicola,
Noctuidae,Leucania,incognita,,Leucania incognita,
Noctuidae,Leucania,inconspicua,,Leucania inconspicua,
Noctuidae,Leucania,infatuans,,Leucania infatuans,
Noctuidae,Leucania,latiuscula,,Leucania latiuscula,
Noctuidae,Leucania,lobrega,,Leucania lobrega,
Noctuidae,Leucania,microgonia,,Leucania microgonia,
Noctuidae,Leucania,microsticha,,Leucania microsticha,
Noctuidae,Leucania,rhodoptera,,Leucania rhodoptera,
Noctuidae,Leucania,sarcistis,,Leucania sarcistis,
Noctuidae,Leucania,senescens,,Leucania senescens,
Noctuidae,Leucania,solita,,Leucania solita,
Noctuidae,Marilopteryx,carancahua,,Marilopteryx carancahua,
Noctuidae,Marilopteryx,lamptera,,Marilopteryx lamptera,
Noctuidae,Micromonodes,semiluna,,Micromonodes semiluna,
Noctuidae,Miselia,plumipes,,Miselia plumipes,
Noctuidae,Miselia,umbrata,,Miselia umbrata,
Noctuidae,Mythimna,sequax,,Mythimna sequax,
Noctuidae,Mythimna,unipuncta,,Mythimna unipuncta,
Noctuidae,Namangana,variata,,Namangana variata,
Noctuidae,Orthodes,cachia,,Orthodes cachia,
Noctuidae,Orthodes,cartagensis,,Orthodes cartagensis,
Noctuidae,Orthodes,curvirena,,Orthodes curvirena,
Noctuidae,Orthodes,cynica,,Orthodes cynica,
Noctuidae,Orthodes,lanaris,,Orthodes lanaris,
Noctuidae,Orthodes,lobata,,Orthodes lobata,
Noctuidae,Orthodes,lodebar,,Orthodes lodebar,
Noctuidae,Orthodes,majuscula,,Orthodes majuscula,
Noctuidae,Orthodes,turrialba,,Orthodes turrialba,
Noctuidae,Orthodes,vesquesa,,Orthodes vesquesa,
Noctuidae,Pastona,rudis,,Pastona rudis,
Noctuidae,Polia,canosticta,,Polia canosticta,
Noctuidae,Polia,marea,,Polia marea,
Noctuidae,Polia,psittacus,,Polia psittacus,
Noctuidae,Stauropides,persimilis,,Stauropides persimilis,
Noctuidae,Tiracola,grandirena,,Tiracola grandirena,
Noctuidae,Tranoses,hirtipuncta,,Tranoses hirtipuncta,
Noctuidae,Trichestra,albirena,,Trichestra albirena,
Noctuidae,Trichestra,mixta,,Trichestra mixta,
Noctuidae,Xanthopastis,timais,,Xanthopastis timais,
Noctuidae,Chloridea,subflexa,,Chloridea subflexa,
Noctuidae,Chloridea,virescens,,Chloridea virescens,
Noctuidae,Helicoverpa,zea,,Helicoverpa zea,
Noctuidae,Heliocheilus,lupatus,,Heliocheilus lupatus,
Noctuidae,Micrantha,mollita,,Micrantha mollita,
Noctuidae,Noctuidae,sp.31,,Noctuidae sp.31,
Noctuidae,Noctuidae,sp.48,,Noctuidae sp.48,
Noctuidae,Noctuidae,sp.58,,Noctuidae sp.58,
Noctuidae,Noctuidae,sp.61,,Noctuidae sp.61,
Noctuidae,Agrotis,ipsilon,,Agrotis ipsilon,
Noctuidae,Agrotis,malefida,,Agrotis malefida,
Noctuidae,Anicla,beata,,Anicla beata,
Noctuidae,Anicla,ignicans,,Anicla ignicans,
Noctuidae,Anicla,infecta,,Anicla infecta,
Noctuidae,Anicla,ornea,,Anicla ornea,
Noctuidae,Anicla,recondita,,Anicla recondita,
Noctuidae,Anicla,rodea,,Anicla rodea,
Noctuidae,Dichagyris,limenia,,Dichagyris limenia,
Noctuidae,Euxoa,nomima,,Euxoa nomima,
Noctuidae,Euxoa,sorella,,Euxoa sorella,
Noctuidae,Feltia,repleta,,Feltia repleta,
Noctuidae,Feltia,subterranea,,Feltia subterranea,
Noctuidae,Hemieuxoa,butleri,,Hemieuxoa butleri,
Noctuidae,Hemieuxoa,nezia,,Hemieuxoa nezia,
Noctuidae,Hemieuxoa,rudens,,Hemieuxoa rudens,
Noctuidae,Hydroeciodes,azteca,,Hydroeciodes azteca,
Noctuidae,Hydroeciodes,cauta,,Hydroeciodes cauta,
Noctuidae,Hydroeciodes,ritaria,,Hydroeciodes ritaria,
Noctuidae,Lacinipolia,laudabilis,,Lacinipolia laudabilis,
Noctuidae,Lacinipolia,olivacea,,Lacinipolia olivacea,
Noctuidae,Lacinipolia,rodora,,Lacinipolia rodora,
Noctuidae,Lophomyra,commixta,,Lophomyra commixta,
Noctuidae,Lophomyra,tacita,,Lophomyra tacita,
Noctuidae,Neodroma,semidolens,,Neodroma semidolens,
Noctuidae,Peridroma,differens,,Peridroma differens,
Noctuidae,Peridroma,saucia,,Peridroma saucia,
Noctuidae,Phuphena,cilix,,Phuphena cilix,
Noctuidae,Phuphena,multilinea,,Phuphena multilinea,
Noctuidae,Phuphena,proseluta,,Phuphena proseluta,
Noctuidae,Phuphena,tura,,Phuphena tura,
Noctuidae,Phuphena,zelotypa,,Phuphena zelotypa,
Noctuidae,Praina,cirphioides,,Praina cirphioides,
Noctuidae,Praina,irazuna,,Praina irazuna,
Noctuidae,Praina,molitrix,,Praina molitrix,
Noctuidae,Praina,temperata,,Praina temperata,
Noctuidae,Pseudorthodes,iole,,Pseudorthodes iole,
Noctuidae,Speocropia,aenyra,,Speocropia aenyra,
Noctuidae,Speocropia,sabrella,,Speocropia sabrella,
Noctuidae,Spodoptera,albula,,Spodoptera albula,
Noctuidae,Spodoptera,androgea,,Spodoptera androgea,
Noctuidae,Spodoptera,cosmioides,,Spodoptera cosmioides,
Noctuidae,Spodoptera,dolichos,,Spodoptera dolichos,
Noctuidae,Spodoptera,eridania,,Spodoptera eridania,
Noctuidae,Spodoptera,exigua,,Spodoptera exigua,
Noctuidae,Spodoptera,frugiperda,,Spodoptera frugiperda,
Noctuidae,Spodoptera,latifascia,,Spodoptera latifascia,
Noctuidae,Spodoptera,ornithogalli,,Spodoptera ornithogalli,
Noctuidae,Striacosta,albicosta,,Striacosta albicosta,
Noctuidae,Antachara,denterna,,Antachara denterna,
Noctuidae,Antachara,diminuta,,Antachara diminuta,
Noctuidae,Antachara,mexicana,,Antachara mexicana,
Noctuidae,Antachara,rotundata,,Antachara rotundata,
Noctuidae,Arctioptera,cavillator,,Arctioptera cavillator,
Noctuidae,Charadra,deridens,,Charadra deridens,
Noctuidae,Charadra,nigracreta,,Charadra nigracreta,
Noctuidae,Charadra,nitens,,Charadra nitens,
Noctuidae,Lichnoptera,decora,,Lichnoptera decora,
Noctuidae,Lichnoptera,gulo,,Lichnoptera gulo,
Noctuidae,Lichnoptera,pollux,,Lichnoptera pollux,
Noctuidae,Agrapha,meretricia,,Agrapha meretricia,
Noctuidae,Agrapha,nigra,,Agrapha nigra,
Noctuidae,Argyrogramma,verruca,,Argyrogramma verruca,
Noctuidae,Autoplusia,egenoides,,Autoplusia egenoides,
Noctuidae,Chrysodeixis,includens,,Chrysodeixis includens,
Noctuidae,Ctenoplusia,caudata,,Ctenoplusia caudata,
Noctuidae,Ctenoplusia,oxygramma,,Ctenoplusia oxygramma,
Noctuidae,Enigmogramma,limata,,Enigmogramma limata,
Noctuidae,Megalographa,talamanca,,Megalographa talamanca,
Noctuidae,Mouralia,tinctoides,,Mouralia tinctoides,
Noctuidae,Notioplusia,illustrata,,Notioplusia illustrata,
Noctuidae,Rachiplusia,ou,,Rachiplusia ou,
Noctuidae,Trichoplusia,ni,,Trichoplusia ni,
Noctuidae,Nagara,clara,,Nagara clara,
Noctuidae,Nagara,fenestra,,Nagara fenestra,
Noctuidae,Basilodes,aurata,,Basilodes aurata,
Noctuidae,Acroria,chloegrapha,,Acroria chloegrapha,
Noctuidae,Acroria,niphanda,,Acroria niphanda,
Noctuidae,Acroria,pulchra,,Acroria pulchra,
Noctuidae,Acroria,terens,,Acroria terens,
Noctuidae,Alastria,macho,,Alastria macho,
Noctuidae,Alastria,tropicalis,,Alastria tropicalis,
Noctuidae,Aprica,patula,,Aprica patula,
Noctuidae,Bryolymnia,bicon,,Bryolymnia bicon,
Noctuidae,Bryolymnia,forreri,,Bryolymnia forreri,
Noctuidae,Bryolymnia,marginata,,Bryolymnia marginata,
Noctuidae,Bryolymnia,poasia,,Bryolymnia poasia,
Noctuidae,Bryolymnia,roma,,Bryolymnia roma,
Noctuidae,Bryolymnia,systera,,Bryolymnia systera,
Noctuidae,Bryolymnia,viridimedia,,Bryolymnia viridimedia,
Noctuidae,Chytonix,cyanochlora,,Chytonix cyanochlora,
Noctuidae,Chytonix,elegans,,Chytonix elegans,
Noctuidae,Chytonix,mniochroa,,Chytonix mniochroa,
Noctuidae,Chytonix,palliatricula,,Chytonix palliatricula,
Noctuidae,Chytonix,Poole03,,Chytonix Poole03,
Noctuidae,Chytonix,pyrrha,,Chytonix pyrrha,
Noctuidae,Chytonix,splendens,,Chytonix splendens,
Noctuidae,Dypterygia,dolens,,Dypterygia dolens,
Noctuidae,Dypterygia,ligata,,Dypterygia ligata,
Noctuidae,Dypterygia,lignaris,,Dypterygia lignaris,
Noctuidae,Dypterygia,ordinarius,,Dypterygia ordinarius,
Noctuidae,Dypterygia,patina,,Dypterygia patina,
Noctuidae,Elaphria,acaste,,Elaphria acaste,
Noctuidae,Elaphria,agrotina,,Elaphria agrotina,
Noctuidae,Elaphria,antica,,Elaphria antica,
Noctuidae,Elaphria,barbarossa,,Elaphria barbarossa,
Noctuidae,Elaphria,carmioli,,Elaphria carmioli,
Noctuidae,Elaphria,cognata,,Elaphria cognata,
Noctuidae,Elaphria,cohaerens,,Elaphria cohaerens,
Noctuidae,Elaphria,delenifica,,Elaphria delenifica,
Noctuidae,Elaphria,deltoides,,Elaphria deltoides,
Noctuidae,Elaphria,devara,,Elaphria devara,
Noctuidae,Elaphria,grata,,Elaphria grata,
Noctuidae,Elaphria,hypophaea,,Elaphria hypophaea,
Noctuidae,Elaphria,jalapensis,,Elaphria jalapensis,
Noctuidae,Elaphria,lucens,,Elaphria lucens,
Noctuidae,Elaphria,malaca,,Elaphria malaca,
Noctuidae,Elaphria,marmorata,,Elaphria marmorata,
Noctuidae,Elaphria,medioclara,,Elaphria medioclara,
Noctuidae,Elaphria,monyma,,Elaphria monyma,
Noctuidae,Elaphria,niveiplaga,,Elaphria niveiplaga,
Noctuidae,Elaphria,niveopis,,Elaphria niveopis,
Noctuidae,Elaphria,nucicolora,,Elaphria nucicolora,
Noctuidae,Elaphria,obscura,,Elaphria obscura,
Noctuidae,Elaphria,optata,,Elaphria optata,
Noctuidae,Elaphria,pallescens,,Elaphria pallescens,
Noctuidae,Elaphria,perigeana,,Elaphria perigeana,
Noctuidae,Elaphria,phlegyas,,Elaphria phlegyas,
Noctuidae,Elaphria,pulchra,,Elaphria pulchra,
Noctuidae,Elaphria,renipes,,Elaphria renipes,
Noctuidae,Elaphria,rubripicta,,Elaphria rubripicta,
Noctuidae,Elaphria,subobliqua,,Elaphria subobliqua,
Noctuidae,Elaphria,trolia,,Elaphria trolia,
Noctuidae,Eumichtis,adducta,,Eumichtis adducta,
Noctuidae,Euplexia,triplaga,,Euplexia triplaga,
Noctuidae,Galgula,hippotamada,,Galgula hippotamada,
Noctuidae,Gonodes,cuneata,,Gonodes cuneata,
Noctuidae,Gonodes,echion,,Gonodes echion,
Noctuidae,Gonodes,liquida,,Gonodes liquida,
Noctuidae,Gonodes,netopha,,Gonodes netopha,
Noctuidae,Gonodes,obliqua,,Gonodes obliqua,
Noctuidae,Magusa,divaricata,,Magusa divaricata,
Noctuidae,Neophaenis,boucheri,,Neophaenis boucheri,
Noctuidae,Neophaenis,psittacea,,Neophaenis psittacea,
Noctuidae,Neophaenis,respondens,,Neophaenis respondens,
Noctuidae,Phosphila,lacruma,,Phosphila lacruma,
Noctuidae,Phosphila,xylophila,,Phosphila xylophila,
Noctuidae,Sidemia,hipparion,,Sidemia hipparion,
Noctuidae,Trachea,altivolans,,Trachea altivolans,
Noctuidae,Trachea,nigrescens,,Trachea nigrescens,
Noctuidae,Trachea,Sullivan2020,,Trachea Sullivan2020,
Noctuidae,Trachea,supera,,Trachea supera,
Noctuidae,Trachea,uscana,,Trachea uscana,
Noctuidae,Trachea,viridis,,Trachea viridis,
Nolidae,Afrida,ciliata,,Afrida ciliata,
Nolidae,Afrida,minuta,,Afrida minuta,
Nolidae,Afrida,parvula,,Afrida parvula,
Nolidae,Afrida,polyglotta,,Afrida polyglotta,
Nolidae,Afrida,sceletozona,,Afrida sceletozona,
Nolidae,Afrida,soecues,,Afrida soecues,
Nolidae,Afrida,Sullivan2192,,Afrida Sullivan2192,
Nolidae,Afrida,Sullivan7116,,Afrida Sullivan7116,
Nolidae,Afrida,Sullivan7413,,Afrida Sullivan7413,
Nolidae,Afrida,ydatodes,,Afrida ydatodes,
Nolidae,Afrida,zoephila,,Afrida zoephila,
Nolidae,Chloephorinae,sp.1,,Chloephorinae sp.1,
Nolidae,Diplolopha,cycloptera,,Diplolopha cycloptera,
Nolidae,Egchiretes,nomimus,,Egchiretes nomimus,
Nolidae,Elaeognatha,argentea,,Elaeognatha argentea,
Nolidae,Elaeognatha,argyritis,,Elaeognatha argyritis,
Nolidae,Elaeognatha,melanosticta,,Elaeognatha melanosticta,
Nolidae,Elaeognatha,phaenerostola,,Elaeognatha phaenerostola,
Nolidae,Elaeognatha,phaeostrota,,Elaeognatha phaeostrota,
Nolidae,Elaeognatha,troctoptera,,Elaeognatha troctoptera,
Nolidae,Garella,nilotica,,Garella nilotica,
Nolidae,Steniscadia,polyodonta,,Steniscadia polyodonta,
Nolidae,Stictothripa,delaia,,Stictothripa delaia,
Nolidae,Casandria,chlorotica,,Casandria chlorotica,
Nolidae,Casandria,purpurascens,,Casandria purpurascens,
Nolidae,Collomena,araea,,Collomena araea,
Nolidae,Collomena,chirica,,Collomena chirica,
Nolidae,Collomena,filifera,,Collomena filifera,
Nolidae,Collomena,interstitia,,Collomena interstitia,
Nolidae,Collomena,leucopis,,Collomena leucopis,
Nolidae,Collomena,metaphaea,,Collomena metaphaea,
Nolidae,Collomena,siopera,,Collomena siopera,
Nolidae,Collomena,sp.1,,Collomena sp.1,
Nolidae,Collomena,sp.2,,Collomena sp.2,
Nolidae,Motya,abaea,,Motya abaea,
Nolidae,Motya,abseuzalis,,Motya abseuzalis,
Nolidae,Motya,arcuata,,Motya arcuata,
Nolidae,Motya,griselda,,Motya griselda,
Nolidae,Motya,mythias,,Motya mythias,
Nolidae,Neostictoptera,nigripuncta,,Neostictoptera nigripuncta,
Nolidae,Diphthera,festiva,,Diphthera festiva,
Nolidae,Lepidodes,gallopavo,,Lepidodes gallopavo,
Nolidae,Lepidodes,limbulata,,Lepidodes limbulata,
Nolidae,Lepidodes,lorenae,,Lepidodes lorenae,
Nolidae,Iscadia,aperta,,Iscadia aperta,
Nolidae,Iscadia,argentea,,Iscadia argentea,
Nolidae,Iscadia,candezei,,Iscadia candezei,
Nolidae,Iscadia,chlorographa,,Iscadia chlorographa,
Nolidae,Iscadia,diopis,,Iscadia diopis,
Nolidae,Iscadia,furcifera,,Iscadia furcifera,
Nolidae,Iscadia,mariva,,Iscadia mariva,
Nolidae,Iscadia,phaeoptera,,Iscadia phaeoptera,
Nolidae,Iscadia,Poole02DHJ03,,Iscadia Poole02DHJ03,
Nolidae,Iscadia,producta,,Iscadia producta,
Nolidae,Iscadia,purpurascens,,Iscadia purpurascens,
Nolidae,Iscadia,similis,,Iscadia similis,
Nolidae,Iscadia,variegata,,Iscadia variegata,
Nolidae,Cephalospargeta,elongata,,Cephalospargeta elongata,
Nolidae,Hayesia,grisella,,Hayesia grisella,
Nolidae,Meganola,biconigera,,Meganola biconigera,
Nolidae,Meganola,bifiliferata,,Meganola bifiliferata,
Nolidae,Meganola,BioLep44,,Meganola BioLep44,
Nolidae,Meganola,canescens,,Meganola canescens,
Nolidae,Meganola,decepta,,Meganola decepta,
Nolidae,Meganola,georgei,,Meganola georgei,
Nolidae,Meganola,leucostola,,Meganola leucostola,
Nolidae,Meganola,medioscripta,,Meganola medioscripta,
Nolidae,Meganola,pedanta,,Meganola pedanta,
Nolidae,Meganola,pernitens,,Meganola pernitens,
Nolidae,Meganola,phylla,,Meganola phylla,
Nolidae,Meganola,polydonta,,Meganola polydonta,
Nolidae,Meganola,punctilinea,,Meganola punctilinea,
Nolidae,Meganola,sabulosa,,Meganola sabulosa,
Nolidae,Meganola,spodia,,Meganola spodia,
Nolidae,Nola,artata,,Nola artata,
Nolidae,Nola,biumbrata,,Nola biumbrata,
Nolidae,Nola,caelata,,Nola caelata,
Nolidae,Nola,carilla,,Nola carilla,
Nolidae,Nola,hermana,,Nola hermana,
Nolidae,Nola,intermedia,,Nola intermedia,
Nolidae,Nola,lagunculariae,,Nola lagunculariae,
Nolidae,Nola,limona,,Nola limona,
Nolidae,Nola,maia,,Nola maia,
Nolidae,Nola,melicerta,,Nola melicerta,
Nolidae,Nola,mesographa,,Nola mesographa,
Nolidae,Nola,ovilla,,Nola ovilla,
Nolidae,Nola,patina,,Nola patina,
Nolidae,Nola,rodea,,Nola rodea,
Nolidae,Nola,scruposa,,Nola scruposa,
Nolidae,Nola,semirufa,,Nola semirufa,
Nolidae,Nola,sperata,,Nola sperata,
Nolidae,Nola,triplaga,,Nola triplaga,
Nolidae,Nola,turbana,,Nola turbana,
Nolidae,Nolinae,sp.1,,Nolinae sp.1,
Nolidae,Nolinae,sp.2,,Nolinae sp.2,
Nolidae,Nolinae,sp.3,,Nolinae sp.3,
Nolidae,Nolinae,sp.4,,Nolinae sp.4,
Nolidae,Nolinae,sp.5,,Nolinae sp.5,
Nolidae,Roeselia,placens,,Roeselia placens,
Notodontidae,Argentala,subcoerulea,,Argentala subcoerulea,
Notodontidae,Brachyglene,albicephala,,Brachyglene albicephala,
Notodontidae,Brachyglene,crocearia,,Brachyglene crocearia,
Notodontidae,Brachyglene,schausi,,Brachyglene schausi,
Notodontidae,Chrysoglossa,demades,,Chrysoglossa demades,
Notodontidae,Chrysoglossa,fumosa,,Chrysoglossa fumosa,
Notodontidae,Chrysoglossa,maxima,,Chrysoglossa maxima,
Notodontidae,Chrysoglossa,norburyi,,Chrysoglossa norburyi,
Notodontidae,Chrysoglossa,phaethon,,Chrysoglossa phaethon,
Notodontidae,Chrysoglossa,submaxima,,Chrysoglossa submaxima,
Notodontidae,Dioptis,butes,,Dioptis butes,
Notodontidae,Dioptis,candelaria,,Dioptis candelaria,
Notodontidae,Dioptis,longipennis,,Dioptis longipennis,
Notodontidae,Erbessa,albilinea,,Erbessa albilinea,
Notodontidae,Erbessa,lindigii,,Erbessa lindigii,
