accepted_taxon_key,order_name,family_name,genus_name,search_species_name,gbif_species_name,confidence,status,match_type,rank,source
1872873,Lepidoptera,Pyralidae,Pyralis,Pyralis manihotalis,Pyralis manihotalis,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1872850,Lepidoptera,Pyralidae,Pyralis,Pyralis pictalis,Pyralis pictalis,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
-1,NotAvail,NotAvail,NotAvail,Zitha torridalis,NotAvail,100,NotAvail,NONE,NotAvail,Tbilisi04October2023
5124716,Lepidoptera,Saturniidae,Attacus,Attacus atlas,Attacus atlas,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1867928,Lepidoptera,Saturniidae,Saturnia,Saturnia pyri,Saturnia pyri,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
5120278,Lepidoptera,Scythrididae,Eretmocera,Eretmocera impactella,Eretmocera impactella,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
11901335,Lepidoptera,Sesiidae,Tyrictaca,Tyrictaca pulchra,Tyrictaca pulchra,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1861933,Lepidoptera,Sphingidae,Acosmeryx,Acosmeryx shervillii,Acosmeryx shervillii,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1863354,Lepidoptera,Sphingidae,Angonyx,Angonyx testacea,Angonyx testacea,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1863467,Lepidoptera,Sphingidae,Cechenena,Cechenena helops,Cechenena helops,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
-1,NotAvail,NotAvail,NotAvail,"Cechenena helops helops Walker, 1856",NotAvail,99,NotAvail,NONE,NotAvail,Tbilisi04October2023
1863034,Lepidoptera,Sphingidae,Cephonodes,Cephonodes hylas,Cephonodes hylas,98,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1862394,Lepidoptera,Sphingidae,Daphnis,Daphnis hypothous,Daphnis hypothous,98,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1862401,Lepidoptera,Sphingidae,Daphnis,Daphnis nerii,Daphnis nerii,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1863646,Lepidoptera,Sphingidae,Elibia,Elibia dolichus,Elibia dolichus,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1863388,Lepidoptera,Sphingidae,Enpinanga,Enpinanga borneensis,Enpinanga borneensis,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1863393,Lepidoptera,Sphingidae,Enpinanga,Enpinanga vigens,Enpinanga vigens,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1863904,Lepidoptera,Sphingidae,Eupanacra,Eupanacra elegantulus,Eupanacra elegantulus,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1863910,Lepidoptera,Sphingidae,Eupanacra,Eupanacra mydon,Eupanacra mydon,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1863907,Lepidoptera,Sphingidae,Eupanacra,Eupanacra regularis,Eupanacra regularis,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
5124059,Lepidoptera,Sphingidae,Eurypteryx,Eurypteryx bhaga,Eurypteryx bhaga,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1862318,Lepidoptera,Sphingidae,Hippotion,Hippotion boerhaviae,Hippotion boerhaviae,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1862293,Lepidoptera,Sphingidae,Hippotion,Hippotion celerio,Hippotion celerio,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1862328,Lepidoptera,Sphingidae,Hippotion,Hippotion echeclus,Hippotion echeclus,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1862363,Lepidoptera,Sphingidae,Hippotion,Hippotion rosetta,Hippotion rosetta,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
5124415,Lepidoptera,Sphingidae,Macroglossum,Macroglossum bombylans,Macroglossum bombylans,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
11954157,Lepidoptera,Sphingidae,Macroglossum,Macroglossum corythus,Macroglossum corythus,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
5124348,Lepidoptera,Sphingidae,Macroglossum,Macroglossum divergens,Macroglossum divergens,98,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
5124358,Lepidoptera,Sphingidae,Macroglossum,Macroglossum multifascia,Macroglossum multifascia,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
5124414,Lepidoptera,Sphingidae,Macroglossum,Macroglossum prometheus,Macroglossum prometheus,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
5124332,Lepidoptera,Sphingidae,Macroglossum,Macroglossum pyrrhosticta,Macroglossum pyrrhosticta,98,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
5124374,Lepidoptera,Sphingidae,Macroglossum,Macroglossum sitiene,Macroglossum sitiene,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
5124402,Lepidoptera,Sphingidae,Macroglossum,Macroglossum variegatum,Macroglossum variegatum,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
6106759,Lepidoptera,Sphingidae,Neogurelca,Neogurelca hyas,Neogurelca hyas,98,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1863944,Lepidoptera,Sphingidae,Pergesa,Pergesa acteus,Pergesa acteus,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1862517,Lepidoptera,Sphingidae,Theretra,Theretra alecto,Theretra alecto,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1862430,Lepidoptera,Sphingidae,Theretra,Theretra clotho,Theretra clotho,98,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
-1,NotAvail,NotAvail,NotAvail,"Theretra clotho clotho Drury, 1773",NotAvail,99,NotAvail,NONE,NotAvail,Tbilisi04October2023
1862526,Lepidoptera,Sphingidae,Theretra,Theretra latreillii,Theretra latreillii,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1862481,Lepidoptera,Sphingidae,Theretra,Theretra lucasii,Theretra rhesus,96,SYNONYM,FUZZY,SPECIES,Tbilisi04October2023
1862475,Lepidoptera,Sphingidae,Theretra,Theretra nessus,Theretra nessus,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1862449,Lepidoptera,Sphingidae,Theretra,Theretra oldenlandiae,Theretra oldenlandiae,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1862516,Lepidoptera,Sphingidae,Theretra,Theretra silhetensis,Theretra silhetensis,98,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1862467,Lepidoptera,Sphingidae,Theretra,Theretra suffusa,Theretra suffusa,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
5123884,Lepidoptera,Sphingidae,Ambulyx,Ambulyx canescens,Ambulyx canescens,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
5123888,Lepidoptera,Sphingidae,Ambulyx,Ambulyx clavata,Ambulyx clavata,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
8810912,Lepidoptera,Sphingidae,Ambulyx,Ambulyx moorei,Ambulyx moorei,98,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
5123870,Lepidoptera,Sphingidae,Ambulyx,Ambulyx pryeri,Ambulyx pryeri,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
5123707,Lepidoptera,Sphingidae,Amplypterus,Amplypterus panopus,Amplypterus panopus,98,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1863431,Lepidoptera,Sphingidae,Cypa,Cypa decolor,Cypa decolor,98,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1861975,Lepidoptera,Sphingidae,Daphnusa,Daphnusa ocellaris,Daphnusa ocellaris,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1861721,Lepidoptera,Sphingidae,Marumba,Marumba dyras,Marumba dyras,98,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1861488,Lepidoptera,Sphingidae,Acherontia,Acherontia lachesis,Acherontia lachesis,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1861494,Lepidoptera,Sphingidae,Acherontia,Acherontia styx,Acherontia styx,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1861644,Lepidoptera,Sphingidae,Agrius,Agrius convolvuli,Agrius convolvuli,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1862008,Lepidoptera,Sphingidae,Meganoton,Meganoton nyctiphanes,Meganoton nyctiphanes,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
10005133,Lepidoptera,Sphingidae,Notonagemia,Notonagemia analis,Notonagemia analis,98,DOUBTFUL,EXACT,SPECIES,Tbilisi04October2023
1861451,Lepidoptera,Sphingidae,Psilogramma,Psilogramma discistriga,Psilogramma discistriga,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
10299506,Lepidoptera,Sphingidae,Psilogramma,Psilogramma edii,Psilogramma edii,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1861456,Lepidoptera,Sphingidae,Psilogramma,Psilogramma increta,Psilogramma increta,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1861457,Lepidoptera,Sphingidae,Psilogramma,Psilogramma menephron,Psilogramma menephron,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1831458,Lepidoptera,Stathmopodidae,Stathmopoda,Stathmopoda auriferella,Stathmopoda auriferella,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
-1,NotAvail,NotAvail,NotAvail,Calindoea argentalis,NotAvail,100,NotAvail,NONE,NotAvail,Tbilisi04October2023
-1,NotAvail,NotAvail,NotAvail,Calindoea corticina,NotAvail,100,NotAvail,NONE,NotAvail,Tbilisi04October2023
-1,NotAvail,NotAvail,NotAvail,Collinsa commanotata,NotAvail,100,NotAvail,NONE,NotAvail,Tbilisi04October2023
9890756,Lepidoptera,Thyrididae,Hypolamprus,Hypolamprus bastialis,Hypolamprus bastialis,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
9890756,Lepidoptera,Thyrididae,Hypolamprus,Hypolamprus bastialis ,Hypolamprus bastialis,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1992924,Lepidoptera,Thyrididae,Aglaopus,Aglaopus decussata,Aglaopus decussata,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1992602,Lepidoptera,Thyrididae,Banisia,Banisia idalialis,Banisia idalialis,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1992589,Lepidoptera,Thyrididae,Banisia,Banisia lobata,Banisia lobata,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1992634,Lepidoptera,Thyrididae,Banisia,Banisia myrsusalis,Banisia myrsusalis,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1992781,Lepidoptera,Thyrididae,Dysodia,Dysodia miniata,Dysodia miniata,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1992793,Lepidoptera,Thyrididae,Dysodia,Dysodia pennitarsis,Dysodia pennitarsis,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
-1,NotAvail,NotAvail,NotAvail,Glanycus coendersi,NotAvail,100,NotAvail,NONE,NotAvail,Tbilisi04October2023
1993491,Lepidoptera,Thyrididae,Striglina,Striglina buergersi,Striglina buergersi,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
1993536,Lepidoptera,Thyrididae,Striglina,Striglina duplicifimbria,Striglina duplicifimbria,99,ACCEPTED,EXACT,SPECIES,Tbilisi04October2023
