accepted_taxon_key,order_name,family_name,genus_name,species_name_provided,authority_name_provided,search_species_name,gbif_species_name,confidence,status,match_type,rank,source
1860989,Lepidoptera,Adelidae,Adela,Adela ridingsella ,,Adela ridingsella ,Adela ridingsella,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
-1,NotAvail,NotAvail,NotAvail,Adela stenoptera ,,Adela stenoptera ,NotAvail,100,NotAvail,NONE,NotAvail,London19Oct2023
1751932,Lepidoptera,Aididae,Aidos,Aidos amanda ,,Aidos amanda ,Aidos amanda,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
-1,NotAvail,NotAvail,NotAvail,Aidos perfusa admiranda,,Aidos perfusa admiranda,NotAvail,99,NotAvail,NONE,NotAvail,London19Oct2023
1992397,Lepidoptera,Alucitidae,Alucita,Alucita mulciber ,,Alucita mulciber ,Alucita mulciber,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1868687,Lepidoptera,Apatelodidae,Drepatelodes,Drepatelodes tanais ,,Drepatelodes tanais ,Drepatelodes tanais,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1868689,Lepidoptera,Apatelodidae,Drepatelodes,Drepatelodes umbrilinea ,,Drepatelodes umbrilinea ,Drepatelodes umbrillinea,97,ACCEPTED,FUZZY,SPECIES,London19Oct2023
12209221,Lepidoptera,Apatelodidae,Pantelodes,Pantelodes centralamericana ,,Pantelodes centralamericana ,Pantelodes centralamericana,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1868622,Lepidoptera,Apatelodidae,Hygrochroa,Pantelodes satellittia ,,Pantelodes satellittia ,Hygrochroa satellitia,96,SYNONYM,FUZZY,SPECIES,London19Oct2023
-1,NotAvail,NotAvail,NotAvail,Prothysana felderi ,,Prothysana felderi ,NotAvail,100,NotAvail,NONE,NotAvail,London19Oct2023
1868360,Lepidoptera,Bombycidae,Anticla,Anticla antica ,,Anticla antica ,Anticla antica,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
-1,NotAvail,NotAvail,NotAvail,Apatelodes adrastia ,,Apatelodes adrastia ,NotAvail,100,NotAvail,NONE,NotAvail,London19Oct2023
10423760,Lepidoptera,Apatelodidae,Hygrochroa,Apatelodes albipunctata ,,Apatelodes albipunctata ,Apatelodes albipunctata,98,DOUBTFUL,EXACT,SPECIES,London19Oct2023
10504421,Lepidoptera,Apatelodidae,Hygrochroa,Apatelodes ardeola ,,Apatelodes ardeola ,Apatelodes ardeola,98,DOUBTFUL,EXACT,SPECIES,London19Oct2023
8502531,Lepidoptera,Apatelodidae,Hygrochroa,Apatelodes cirna ,,Apatelodes cirna ,Apatelodes cirna,98,DOUBTFUL,EXACT,SPECIES,London19Oct2023
11962185,Lepidoptera,Apatelodidae,Hygrochroa,Apatelodes erotina ,,Apatelodes erotina ,Apatelodes erotina,98,DOUBTFUL,EXACT,SPECIES,London19Oct2023
