Family,Genus,Species,Subspecies,species_name_provided,authority_name_provided
Depressariidae,Antaeotricha,BioLep43,,Antaeotricha BioLep43,
Depressariidae,Antaeotricha,caprimulga,,Antaeotricha caprimulga,
Depressariidae,Antaeotricha,cirrhoxantha,,Antaeotricha cirrhoxantha,
Depressariidae,Antaeotricha,disjecta,,Antaeotricha disjecta,
Depressariidae,Antaeotricha,fascicularis,,Antaeotricha fascicularis,
Depressariidae,Antaeotricha,forreri,,Antaeotricha forreri,
Depressariidae,Antaeotricha,ianthina,,Antaeotricha ianthina,
Depressariidae,Antaeotricha,incrassata,,Antaeotricha incrassata,
Depressariidae,Antaeotricha,isoporphyra,,Antaeotricha isoporphyra,
Depressariidae,Antaeotricha,marmorea,,Antaeotricha marmorea,
Depressariidae,Antaeotricha,nictitans,,Antaeotricha nictitans,
Depressariidae,Antaeotricha,ocellifer,,Antaeotricha ocellifer,
Depressariidae,Antaeotricha,osa,,Antaeotricha osa,
Depressariidae,Antaeotricha,phaeoneura,,Antaeotricha phaeoneura,
Depressariidae,Antaeotricha,pratifera,,Antaeotricha pratifera,
Depressariidae,Antaeotricha,radicalis,,Antaeotricha radicalis,
Depressariidae,Antaeotricha,renselariana,,Antaeotricha renselariana,
Depressariidae,Antaeotricha,ribbei,,Antaeotricha ribbei,
Depressariidae,Antaeotricha,similis,,Antaeotricha similis,
Depressariidae,Antaeotricha,sp.01,,Antaeotricha sp.01,
Depressariidae,Antaeotricha,sp.02,,Antaeotricha sp.02,
Depressariidae,Antaeotricha,sp.03,,Antaeotricha sp.03,
Depressariidae,Antaeotricha,sp.04,,Antaeotricha sp.04,
Depressariidae,Antaeotricha,sp.05,,Antaeotricha sp.05,
Depressariidae,Antaeotricha,sp.06,,Antaeotricha sp.06,
Depressariidae,Antaeotricha,sp.07,,Antaeotricha sp.07,
Depressariidae,Antaeotricha,sp.08,,Antaeotricha sp.08,
Depressariidae,Antaeotricha,spurca,,Antaeotricha spurca,
Depressariidae,Antaeotricha,stigmatias,,Antaeotricha stigmatias,
Depressariidae,Antaeotricha,tapanti,,Antaeotricha tapanti,
Depressariidae,Antaeotricha,trivallata,,Antaeotricha trivallata,
Depressariidae,Antaeotricha,umbratella,,Antaeotricha umbratella,
Depressariidae,Antaeotricha,virens,,Antaeotricha virens,
Depressariidae,Antaeotricha,zelleri,,Antaeotricha zelleri,
Depressariidae,Cerconota,anonella,,Cerconota anonella,
Depressariidae,Cerconota,carbonifer,,Cerconota carbonifer,
Depressariidae,Cerconota,impresella,,Cerconota impresella,
Depressariidae,Cerconota,Janzen30,,Cerconota Janzen30,
Depressariidae,Cerconota,miseta,,Cerconota miseta,
Depressariidae,Cerconota,palliata,,Cerconota palliata,
Depressariidae,Cerconota,recurvella,,Cerconota recurvella,
Depressariidae,Cerconota,scolopacina,,Cerconota scolopacina,
Depressariidae,Cerconota,sp.1,,Cerconota sp.1,
Depressariidae,Chlamydastis,angelsolisi,,Chlamydastis angelsolisi,
Depressariidae,Chlamydastis,anniapicadoae,,Chlamydastis anniapicadoae,
Depressariidae,Chlamydastis,antonioazofeifai,,Chlamydastis antonioazofeifai,
Depressariidae,Chlamydastis,arenaria,,Chlamydastis arenaria,
Depressariidae,Chlamydastis,bernardoespinozai,,Chlamydastis bernardoespinozai,
Depressariidae,Chlamydastis,BioLep156,,Chlamydastis BioLep156,
Depressariidae,Chlamydastis,bobandersoni,,Chlamydastis bobandersoni,
Depressariidae,Chlamydastis,carlosviquezi,,Chlamydastis carlosviquezi,
Depressariidae,Chlamydastis,christerhanssoni,,Chlamydastis christerhanssoni,
Depressariidae,Chlamydastis,christhompsoni,,Chlamydastis christhompsoni,
Depressariidae,Chlamydastis,deflexa,,Chlamydastis deflexa,
Depressariidae,Chlamydastis,dondavisi,,Chlamydastis dondavisi,
Depressariidae,Chlamydastis,elenaulateae,,Chlamydastis elenaulateae,
Depressariidae,Chlamydastis,gladysrojasae,,Chlamydastis gladysrojasae,
Depressariidae,Chlamydastis,gracewoodae,,Chlamydastis gracewoodae,
Depressariidae,Chlamydastis,irenecanasae,,Chlamydastis irenecanasae,
Depressariidae,Chlamydastis,isidrochaconi,,Chlamydastis isidrochaconi,
Depressariidae,Chlamydastis,jimlewisi,,Chlamydastis jimlewisi,
Depressariidae,Chlamydastis,jimmilleri,,Chlamydastis jimmilleri,
Depressariidae,Chlamydastis,johnnoyesi,,Chlamydastis johnnoyesi,
Depressariidae,Chlamydastis,juanmatai,,Chlamydastis juanmatai,
Depressariidae,Chlamydastis,manuelzumbadoi,,Chlamydastis manuelzumbadoi,
Depressariidae,Chlamydastis,marianofigueresi,,Chlamydastis marianofigueresi,
Depressariidae,Chlamydastis,montywoodi,,Chlamydastis montywoodi,
Depressariidae,Chlamydastis,munifigueresae,,Chlamydastis munifigueresae,
Depressariidae,Chlamydastis,noramartinae,,Chlamydastis noramartinae,
Depressariidae,Chlamydastis,orion,,Chlamydastis orion,
Depressariidae,Chlamydastis,paulhansoni,,Chlamydastis paulhansoni,
Depressariidae,Chlamydastis,paulthiaucourti,,Chlamydastis paulthiaucourti,
Depressariidae,Chlamydastis,phytoptera,,Chlamydastis phytoptera,
Depressariidae,Chlamydastis,powelli,,Chlamydastis powelli,
Depressariidae,Chlamydastis,ronaldzunigai,,Chlamydastis ronaldzunigai,
Depressariidae,Chlamydastis,trastices,,Chlamydastis trastices,
Depressariidae,Chlamydastis,tryphon,,Chlamydastis tryphon,
Depressariidae,Chlamydastis,vitorbeckeri,,Chlamydastis vitorbeckeri,
Depressariidae,Chlamydastis,vividella,,Chlamydastis vividella,
Depressariidae,Chlamydastis,willsflowersi,,Chlamydastis willsflowersi,
Depressariidae,Gonioterma,anna,,Gonioterma anna,
Depressariidae,Gonioterma,compressa,,Gonioterma compressa,
Depressariidae,Gonioterma,conchita,,Gonioterma conchita,
Depressariidae,Gonioterma,gubernata,,Gonioterma gubernata,
Depressariidae,Gonioterma,halmas,,Gonioterma halmas,
Depressariidae,Gonioterma,ignobilis,,Gonioterma ignobilis,
Depressariidae,Gonioterma,latipennis,,Gonioterma latipennis,
Depressariidae,Loxotoma,elegans,,Loxotoma elegans,
Depressariidae,Phelotropa,oenodes,,Phelotropa oenodes,
Depressariidae,Rectiostoma,annemayae,,Rectiostoma annemayae,
Depressariidae,Rectiostoma,eowilsoni,,Rectiostoma eowilsoni,
Depressariidae,Rectiostoma,philipmayi,,Rectiostoma philipmayi,
Depressariidae,Stenoma,acrosticta,,Stenoma acrosticta,
Depressariidae,Stenoma,adytodes,,Stenoma adytodes,
Depressariidae,Stenoma,aterpes,,Stenoma aterpes,
Depressariidae,Stenoma,baliandra,,Stenoma baliandra,
Depressariidae,Stenoma,byssina,,Stenoma byssina,
Depressariidae,Stenoma,catenifer,,Stenoma catenifer,
Depressariidae,Stenoma,cathosiota,,Stenoma cathosiota,
Depressariidae,Stenoma,comma,,Stenoma comma,
Depressariidae,Stenoma,completella,,Stenoma completella,
Depressariidae,Stenoma,consociella,,Stenoma consociella,
Depressariidae,Stenoma,convexicostata,,Stenoma convexicostata,
Depressariidae,Stenoma,exarata,,Stenoma exarata,
Depressariidae,Stenoma,fenestra,,Stenoma fenestra,
Depressariidae,Stenoma,fraternella,,Stenoma fraternella,
Depressariidae,Stenoma,graphica,,Stenoma graphica,
Depressariidae,Stenoma,immunda,,Stenoma immunda,
Depressariidae,Stenoma,leucana,,Stenoma leucana,
Depressariidae,Stenoma,luctifica,,Stenoma luctifica,
Depressariidae,Stenoma,melanixa,,Stenoma melanixa,
Depressariidae,Stenoma,nebrita,,Stenoma nebrita,
Depressariidae,Stenoma,patens,,Stenoma patens,
Depressariidae,Stenoma,sexmaculata,,Stenoma sexmaculata,
Depressariidae,Stenoma,sp.1,,Stenoma sp.1,
Depressariidae,Stenoma,sp.2,,Stenoma sp.2,
Depressariidae,Stenoma,sp.3,,Stenoma sp.3,
Depressariidae,Stenoma,sublimbata,,Stenoma sublimbata,
Depressariidae,Stenomatinae,sp.01,,Stenomatinae sp.01,
Depressariidae,Stenomatinae,sp.02,,Stenomatinae sp.02,
Depressariidae,Stenomatinae,sp.03,,Stenomatinae sp.03,
Depressariidae,Stenomatinae,sp.04,,Stenomatinae sp.04,
Depressariidae,Stenomatinae,sp.05,,Stenomatinae sp.05,
Depressariidae,Timocratica,butyrota,,Timocratica butyrota,
Depressariidae,Timocratica,grandis,,Timocratica grandis,
Depressariidae,Timocratica,leucocapna,,Timocratica leucocapna,
Depressariidae,Timocratica,loxotoma,,Timocratica loxotoma,
Depressariidae,Timocratica,parvifusca,,Timocratica parvifusca,
Depressariidae,Tinaegeria,carlosalvaradoi,,Tinaegeria carlosalvaradoi,
Depressariidae,Tinaegeria,fasciata,,Tinaegeria fasciata,
Depressariidae,Tinaegeria,romanmacayai,,Tinaegeria romanmacayai,
Eupterotidae,Neopreptos,clayzamenia,,Neopreptos clayzamenia,
Eupterotidae,Neopreptos,marathusa,,Neopreptos marathusa,
Euteliidae,Eutelia,ablatrix,,Eutelia ablatrix,
Euteliidae,Eutelia,abscondens,,Eutelia abscondens,
Euteliidae,Eutelia,apithana,,Eutelia apithana,
Euteliidae,Eutelia,auratrix,,Eutelia auratrix,
Euteliidae,Eutelia,chrysotermina,,Eutelia chrysotermina,
Euteliidae,Eutelia,furcata,,Eutelia furcata,
Euteliidae,Paectes,canofusa,,Paectes canofusa,
Euteliidae,Paectes,chrysoplaga,,Paectes chrysoplaga,
Euteliidae,Paectes,circularis,,Paectes circularis,
Euteliidae,Paectes,curvilinea,,Paectes curvilinea,
Euteliidae,Paectes,devincta,,Paectes devincta,
Euteliidae,Paectes,fovifera,,Paectes fovifera,
Euteliidae,Paectes,fuscescens,,Paectes fuscescens,
Euteliidae,Paectes,griseifusa,,Paectes griseifusa,
Euteliidae,Paectes,lunodes,,Paectes lunodes,
Euteliidae,Paectes,nana,,Paectes nana,
Euteliidae,Paectes,nubifera,,Paectes nubifera,
Euteliidae,Paectes,phloisma,,Paectes phloisma,
Euteliidae,Thyriodes,dissimilis,,Thyriodes dissimilis,
Euteliidae,Thyriodes,flabellum,,Thyriodes flabellum,
Euteliidae,Thyriodes,terrabensis,,Thyriodes terrabensis,
Gelechiidae,Battaristis,emissurella,,Battaristis emissurella,
Gelechiidae,Beltheca,oni,,Beltheca oni,
Gelechiidae,Compsolechia,ambusta,,Compsolechia ambusta,
Gelechiidae,Compsolechia,epibola,,Compsolechia epibola,
Gelechiidae,Compsolechia,repandella,,Compsolechia repandella,
Gelechiidae,Compsolechia,stelliferella,,Compsolechia stelliferella,
Gelechiidae,Compsolechia,suffectella,,Compsolechia suffectella,
Gelechiidae,Haplochela,trigonota,,Haplochela trigonota,
Gelechiidae,Semophylax,apicepuncta,,Semophylax apicepuncta,
Gelechiidae,Sitotroga,cerealella,,Sitotroga cerealella,
Gelechiidae,Dichomeris,antisticha,,Dichomeris antisticha,
Gelechiidae,Dichomeris,costalis,,Dichomeris costalis,
Gelechiidae,Dichomeris,crossospila,,Dichomeris crossospila,
Gelechiidae,Dichomeris,designatella,,Dichomeris designatella,
Gelechiidae,Dichomeris,famulata,,Dichomeris famulata,
Gelechiidae,Dichomeris,jugata,,Dichomeris jugata,
Gelechiidae,Dichomeris,ligulella,,Dichomeris ligulella,
Gelechiidae,Dichomeris,santarosensis,,Dichomeris santarosensis,
Gelechiidae,Dichomeris,sp.1,,Dichomeris sp.1,
Gelechiidae,Dichomeris,sp.2,,Dichomeris sp.2,
Gelechiidae,Dichomeris,sp.3,,Dichomeris sp.3,
Gelechiidae,Dichomeris,sp.4,,Dichomeris sp.4,
Gelechiidae,Helcystogramma,luminosa,,Helcystogramma luminosa,
Gelechiidae,Helcystogramma,perceptella,,Helcystogramma perceptella,
Gelechiidae,Apotactis,citrophila,,Apotactis citrophila,
Gelechiidae,Charistica,walkeri,,Charistica walkeri,
Gelechiidae,Chionodes,nephelophracta,,Chionodes nephelophracta,
Gelechiidae,Commatica,falcatella,,Commatica falcatella,
Gelechiidae,Commatica,ophitis,,Commatica ophitis,
Gelechiidae,Gelechia,leptospora,,Gelechia leptospora,
Gelechiidae,Gelechiinae,sp.01,,Gelechiinae sp.01,
Gelechiidae,Keiferia,lycopersicella,,Keiferia lycopersicella,
Gelechiidae,Logisis,achroea,,Logisis achroea,
Gelechiidae,Parastega,niveisignella,,Parastega niveisignella,
Gelechiidae,Percnarcha,claudiadoblesae,,Percnarcha claudiadoblesae,
Gelechiidae,Symmetrischema,insertum,,Symmetrischema insertum,
Gelechiidae,Tabernillaia,ephialtes,,Tabernillaia ephialtes,
Gelechiidae,Tecia,solanivora,,Tecia solanivora,
Gelechiidae,Telphusa,smaragdopis,,Telphusa smaragdopis,
Gelechiidae,Zelosyne,poecilosoma,,Zelosyne poecilosoma,
Gelechiidae,Gelechiidae,sp.01,,Gelechiidae sp.01,
Gelechiidae,Gelechiidae,sp.02,,Gelechiidae sp.02,
Gelechiidae,Gelechiidae,sp.03,,Gelechiidae sp.03,
Gelechiidae,Gelechiidae,sp.04,,Gelechiidae sp.04,
Gelechiidae,Gelechiidae,sp.05,,Gelechiidae sp.05,
Gelechiidae,Gelechiidae,sp.06,,Gelechiidae sp.06,
Gelechiidae,Gelechiidae,sp.07,,Gelechiidae sp.07,
Gelechiidae,Gelechiidae,sp.08,,Gelechiidae sp.08,
Gelechiidae,Gelechiidae,sp.09,,Gelechiidae sp.09,
