accepted_taxon_key,order_name,family_name,genus_name,species_name_provided,authority_name_provided,search_species_name,gbif_species_name,confidence,status,match_type,rank,source
-1,NotAvail,NotAvail,NotAvail,Eriopyga Poole01 ,,Eriopyga Poole01 ,NotAvail,99,NotAvail,NONE,NotAvail,London19Oct2023
1794955,Lepidoptera,Noctuidae,Eriopyga,Eriopyga pyropis ,,Eriopyga pyropis ,Eriopyga pyropis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1794901,Lepidoptera,Noctuidae,Eriopyga,Eriopyga renalba ,,Eriopyga renalba ,Eriopyga renalba,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1794893,Lepidoptera,Noctuidae,Eriopyga,Eriopyga rhadata ,,Eriopyga rhadata ,Eriopyga rhadata,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
-1,NotAvail,NotAvail,NotAvail,Eriopyga rubricundula ,,Eriopyga rubricundula ,NotAvail,100,NotAvail,NONE,NotAvail,London19Oct2023
1795033,Lepidoptera,Noctuidae,Eriopyga,Eriopyga rubripuncta ,,Eriopyga rubripuncta ,Eriopyga rubripuncta,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1794987,Lepidoptera,Noctuidae,Eriopyga,Eriopyga tertulia ,,Eriopyga tertulia ,Eriopyga tertulia,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1795037,Lepidoptera,Noctuidae,Eriopyga,Eriopyga volcania ,,Eriopyga volcania ,Eriopyga volcania,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1761206,Lepidoptera,Noctuidae,Fracara,Fracara viridata ,,Fracara viridata ,Fracara viridata,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1791330,Lepidoptera,Noctuidae,Hampsonodes,Hampsonodes aperiens ,,Hampsonodes aperiens ,Hampsonodes aperiens,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1791351,Lepidoptera,Noctuidae,Hampsonodes,Hampsonodes confisa ,,Hampsonodes confisa ,Hampsonodes confisa,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1791337,Lepidoptera,Noctuidae,Hampsonodes,Hampsonodes dislocata ,,Hampsonodes dislocata ,Hampsonodes dislocata,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1791322,Lepidoptera,Noctuidae,Hampsonodes,Hampsonodes fuscoma ,,Hampsonodes fuscoma ,Hampsonodes fuscoma,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1791341,Lepidoptera,Noctuidae,Hampsonodes,Hampsonodes grandimacula ,,Hampsonodes grandimacula ,Hampsonodes grandimacula,98,ACCEPTED,EXACT,SPECIES,London19Oct2023
1791343,Lepidoptera,Noctuidae,Hampsonodes,Hampsonodes latifascia ,,Hampsonodes latifascia ,Hampsonodes latifascia,98,ACCEPTED,EXACT,SPECIES,London19Oct2023
1791347,Lepidoptera,Noctuidae,Hampsonodes,Hampsonodes maneti ,,Hampsonodes maneti ,Hampsonodes maneti,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1791331,Lepidoptera,Noctuidae,Hampsonodes,Hampsonodes mastoides ,,Hampsonodes mastoides ,Hampsonodes mastoides,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1791319,Lepidoptera,Noctuidae,Hampsonodes,Hampsonodes melagona ,,Hampsonodes melagona ,Hampsonodes melagona,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1791336,Lepidoptera,Noctuidae,Hampsonodes,Hampsonodes naevia ,,Hampsonodes naevia ,Hampsonodes naevia,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1791325,Lepidoptera,Noctuidae,Hampsonodes,Hampsonodes orbica ,,Hampsonodes orbica ,Hampsonodes orbica,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1765453,Lepidoptera,Noctuidae,Heterochroma,Heterochroma amphion ,,Heterochroma amphion ,Heterochroma amphion,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1765472,Lepidoptera,Noctuidae,Heterochroma,Heterochroma bellona ,,Heterochroma bellona ,Heterochroma bellona,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1765454,Lepidoptera,Noctuidae,Heterochroma,Heterochroma beryllus ,,Heterochroma beryllus ,Heterochroma beryllus,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
1765467,Lepidoptera,Noctuidae,Heterochroma,Heterochroma eriopioides ,,Heterochroma eriopioides ,Heterochroma eriopioides,99,ACCEPTED,EXACT,SPECIES,London19Oct2023
