accepted_taxon_key,order_name,family_name,genus_name,species_name_provided,authority_name_provided,search_species_name,gbif_species_name,confidence,status,match_type,rank,source,n_imgs
1889280,Lepidoptera,Crambidae,Eurrhyparodes,Eurrhyparodes splendens,,Eurrhyparodes splendens,Eurrhyparodes splendens,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,21
10373356,Lepidoptera,Crambidae,Eurrhyparodes,Eurrhyparodes syllepidia,,Eurrhyparodes syllepidia,Eurrhyparodes syllepidia,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,1
1882929,Lepidoptera,Crambidae,Herpetogramma,Herpetogramma agavealis,,Herpetogramma agavealis,Herpetogramma infuscalis,99,SYNONYM,EXACT,SPECIES,London19Oct2023,0
1882941,Lepidoptera,Crambidae,Herpetogramma,Herpetogramma bipunctalis,,Herpetogramma bipunctalis,Herpetogramma bipunctalis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,1000
1882960,Lepidoptera,Crambidae,Herpetogramma,Herpetogramma phaeopteralis,,Herpetogramma phaeopteralis,Herpetogramma phaeopteralis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,1000
10027568,Lepidoptera,Crambidae,Herpetogramma,Herpetogramma salbialis,,Herpetogramma salbialis,Herpetogramma salbialis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,2
10398065,Lepidoptera,Crambidae,Herpetogramma,Herpetogramma semilaniata,,Herpetogramma semilaniata,Herpetogramma semilaniata,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,8
10072256,Lepidoptera,Crambidae,Hileithia,Hileithia approprialis,,Hileithia approprialis,Hileithia approprialis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,8
1879433,Lepidoptera,Crambidae,Hileithia,Hileithia decostalis,,Hileithia decostalis,Hileithia decostalis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,0
11597841,Lepidoptera,Crambidae,Hileithia,Hileithia differentialis,,Hileithia differentialis,Hileithia differentialis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,3
10467943,Lepidoptera,Crambidae,Hileithia,Hileithia obliqualis,,Hileithia obliqualis,Hileithia obliqualis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,9
10366679,Lepidoptera,Crambidae,Hileithia,Hileithia rehamalis,,Hileithia rehamalis,Hileithia rehamalis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,148
6121010,Lepidoptera,Crambidae,Metoeca,Metoeca foedalis,,Metoeca foedalis,Metoeca foedalis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,532
1885121,Lepidoptera,Crambidae,Pilocrocis,Pilocrocis calamistis,,Pilocrocis calamistis,Pilocrocis calamistis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,0
1885103,Lepidoptera,Crambidae,Pilocrocis,Pilocrocis cryptalis,,Pilocrocis cryptalis,Pilocrocis cryptalis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,0
1885153,Lepidoptera,Crambidae,Pilocrocis,Pilocrocis gillipusalis,,Pilocrocis gillipusalis,Pilocrocis gillippusalis,97,ACCEPTED,FUZZY,SPECIES,London19Oct2023,0
1885124,Lepidoptera,Crambidae,Pilocrocis,Pilocrocis modestalis,,Pilocrocis modestalis,Pilocrocis modestalis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,0
1885095,Lepidoptera,Crambidae,Pilocrocis,Pilocrocis musalis,,Pilocrocis musalis,Pilocrocis musalis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,0
1885056,Lepidoptera,Crambidae,Pilocrocis,Pilocrocis purpurascens,,Pilocrocis purpurascens,Pilocrocis purpurascens,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,0
1885158,Lepidoptera,Crambidae,Pilocrocis,Pilocrocis ramentalis,,Pilocrocis ramentalis,Pilocrocis ramentalis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,500
1885061,Lepidoptera,Crambidae,Pilocrocis,Pilocrocis roxonalis,,Pilocrocis roxonalis,Pilocrocis roxonalis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,0
1885152,Lepidoptera,Crambidae,Pilocrocis,Pilocrocis xanthozonalis,,Pilocrocis xanthozonalis,Pilocrocis xanthozonalis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,5
1881766,Lepidoptera,Crambidae,Gonocausta,Gonocausta zephyralis,,Gonocausta zephyralis,Gonocausta zephyralis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,5
1879471,Lepidoptera,Crambidae,Hydriris,Hydriris ornatalis,,Hydriris ornatalis,Hydriris ornatalis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,842
1891716,Lepidoptera,Crambidae,Lamprosema,Lamprosema angulinea,,Lamprosema angulinea,Lamprosema angulinea,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,0
1891637,Lepidoptera,Crambidae,Lamprosema,Lamprosema brunnealis,,Lamprosema brunnealis,Lamprosema brunnealis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,0
1891727,Lepidoptera,Crambidae,Lamprosema,Lamprosema brunnescens,,Lamprosema brunnescens,Lamprosema brunnescens,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,0
1891674,Lepidoptera,Crambidae,Lamprosema,Lamprosema cayugalis,,Lamprosema cayugalis,Lamprosema cayugalis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,6
1891662,Lepidoptera,Crambidae,Lamprosema,Lamprosema dorisalis,,Lamprosema dorisalis,Lamprosema dorisalis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,3
1891886,Lepidoptera,Crambidae,Lamprosema,Lamprosema esperanzalis,,Lamprosema esperanzalis,Lamprosema esperanzalis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,0
1891772,Lepidoptera,Crambidae,Lamprosema,Lamprosema excurvalis,,Lamprosema excurvalis,Lamprosema excurvalis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,2
1891675,Lepidoptera,Crambidae,Lamprosema,Lamprosema foviferalis,,Lamprosema foviferalis,Lamprosema foviferalis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,1
1891706,Lepidoptera,Crambidae,Lamprosema,Lamprosema nannalis,,Lamprosema nannalis,Lamprosema nannalis,99,ACCEPTED,EXACT,SPECIES,London19Oct2023,1
