,accepted_taxon_key,order_name,family_name,genus_name,species_name_provided,authority_name_provided,search_species_name,gbif_species_name,confidence,status,match_type,rank,source,n_imgs
1055,10598042,Lepidoptera,Nolidae,Xenochroa,Xenochroa xanthia,"Hampson,1902",Xenochroa xanthia,Xenochroa xanthia,99,ACCEPTED,EXACT,SPECIES,London06October2023,17
1056,1803035,Lepidoptera,Nolidae,Earias,Earias flavida,,Earias flavida,Earias flavida,99,ACCEPTED,EXACT,SPECIES,London06October2023,76
1057,1803078,Lepidoptera,Nolidae,Earias,Earias vittella,,Earias vittella,Earias vittella,99,ACCEPTED,EXACT,SPECIES,London06October2023,32
1058,1802071,Lepidoptera,Nolidae,Gadirtha,Gadirtha pulchra,,Gadirtha pulchra,Gadirtha pulchra,99,ACCEPTED,EXACT,SPECIES,London06October2023,12
1059,1801503,Lepidoptera,Nolidae,Ptisciana,Ptisciana seminivea,"Walker,1865",Ptisciana seminivea,Ptisciana seminivea,99,ACCEPTED,EXACT,SPECIES,London06October2023,26
1060,1801152,Lepidoptera,Nolidae,Selepa,Selepa celtis,,Selepa celtis,Selepa celtis,98,ACCEPTED,EXACT,SPECIES,London06October2023,7
1061,1801155,Lepidoptera,Nolidae,Selepa,Selepa molybdea,,Selepa molybdea,Selepa molybdea,99,ACCEPTED,EXACT,SPECIES,London06October2023,7
1062,1801160,Lepidoptera,Nolidae,Selepa,Selepa plumbeata,,Selepa plumbeata,Selepa plumbeata,99,ACCEPTED,EXACT,SPECIES,London06October2023,2
1063,12188993,Lepidoptera,Nolidae,Aeneanola,Aeneanola acontioides,,Aeneanola acontioides,Aeneanola acontioides,99,ACCEPTED,EXACT,SPECIES,London06October2023,33
1064,1802144,Lepidoptera,Nolidae,Aquis,Aquis albida,,Aquis albida,Aquis albida,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1065,12223139,Lepidoptera,Nolidae,Calonola,Calonola ectrocta,,Calonola ectrocta,Calonola ectrocta,99,ACCEPTED,EXACT,SPECIES,London06October2023,2
1066,1805087,Lepidoptera,Erebidae,Ctenane,Ctenane labuana,,Ctenane labuana,Ctenane labuana,99,ACCEPTED,EXACT,SPECIES,London06October2023,2
1067,1802633,Lepidoptera,Nolidae,Manoba,Manoba major,,Manoba major,Manoba major,99,ACCEPTED,EXACT,SPECIES,London06October2023,29
1068,10942408,Lepidoptera,Nolidae,Meganola,Meganola brunellus,,Meganola brunellus,Meganola brunellus,99,ACCEPTED,EXACT,SPECIES,London06October2023,166
1069,10568196,Lepidoptera,Nolidae,Nola,Nola analis,,Nola analis,Nola analis,99,ACCEPTED,EXACT,SPECIES,London06October2023,15
1070,11738021,Lepidoptera,Nolidae,Nola,Nola euryzonata,,Nola euryzonata,Nola euryzonata,99,ACCEPTED,EXACT,SPECIES,London06October2023,4
1071,6133811,Lepidoptera,Nolidae,Nola,Nola fasciata,,Nola fasciata,Nola fasciata,98,ACCEPTED,EXACT,SPECIES,London06October2023,116
1072,6112598,Lepidoptera,Nolidae,Nola,Nola pumila,,Nola pumila,Nola pumila,99,ACCEPTED,EXACT,SPECIES,London06October2023,55
1073,6112604,Lepidoptera,Nolidae,Nola,Nola quadrimaculata,,Nola quadrimaculata,Nola internella,99,SYNONYM,EXACT,SPECIES,London06October2023,0
1074,11475978,Lepidoptera,Nolidae,Sarbena,Sarbena lignifera,,Sarbena lignifera,Sarbena lignifera,99,ACCEPTED,EXACT,SPECIES,London06October2023,4
1075,1800588,Lepidoptera,Nolidae,Risoba,Risoba basalis,,Risoba basalis,Risoba basalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,13
1076,1800582,Lepidoptera,Nolidae,Risoba,Risoba chlora,,Risoba chlora,Risoba chlora,99,ACCEPTED,EXACT,SPECIES,London06October2023,5
1077,1800578,Lepidoptera,Nolidae,Risoba,Risoba diversipennis,,Risoba diversipennis,Risoba diversipennis,99,ACCEPTED,EXACT,SPECIES,London06October2023,3
1078,9325062,Lepidoptera,Nolidae,Risoba,Risoba obscurivialis,"Holloway, 2003",Risoba obscurivialis,Risoba obscurivialis,99,ACCEPTED,EXACT,SPECIES,London06October2023,4
1079,1801461,Lepidoptera,Nolidae,Negeta,Negeta contrariata,,Negeta contrariata,Negeta contrariata,99,ACCEPTED,EXACT,SPECIES,London06October2023,304
1080,1801406,Lepidoptera,Nolidae,Pterogonia,Pterogonia aurigutta,"Walker, 1858",Pterogonia aurigutta,Pterogonia aurigutta,99,ACCEPTED,EXACT,SPECIES,London06October2023,2
1081,1801410,Lepidoptera,Nolidae,Pterogonia,Pterogonia cardinalis,,Pterogonia cardinalis,Pterogonia cardinalis,99,ACCEPTED,EXACT,SPECIES,London06October2023,20
1082,5114465,Lepidoptera,Nolidae,Westermannia,Westermannia elliptica,,Westermannia elliptica,Westermannia elliptica,99,ACCEPTED,EXACT,SPECIES,London06October2023,133
1083,5114515,Lepidoptera,Nolidae,Westermannia,Westermannia gloriosa,,Westermannia gloriosa,Westermannia gloriosa,99,ACCEPTED,EXACT,SPECIES,London06October2023,39
1084,5114484,Lepidoptera,Nolidae,Westermannia,Westermannia nobilis,,Westermannia nobilis,Westermannia nobilis,99,ACCEPTED,EXACT,SPECIES,London06October2023,5
1085,11431926,Lepidoptera,Nolidae,Miaromima,Westermannia pangolina,,Westermannia pangolina,Miaromima pangolina,99,SYNONYM,EXACT,SPECIES,London06October2023,6
1086,1802863,Lepidoptera,Nolidae,Chloroplaga,Chloroplaga nygmia,,Chloroplaga nygmia,Chloroplaga nygmia,98,ACCEPTED,EXACT,SPECIES,London06October2023,19
1087,10597565,Lepidoptera,Nolidae,Didigua,Didigua seticornis,,Didigua seticornis,Didigua seticornis,99,ACCEPTED,EXACT,SPECIES,London06October2023,1
1088,1801057,Lepidoptera,Nolidae,Gelastocera,Gelastocera viridimacula,,Gelastocera viridimacula,Gelastocera viridimacula,99,ACCEPTED,EXACT,SPECIES,London06October2023,12
1089,1801526,Lepidoptera,Nolidae,Plectothripa,Plectothripa excisa,,Plectothripa excisa,Plectothripa excisa,99,ACCEPTED,EXACT,SPECIES,London06October2023,7
1090,1801339,Lepidoptera,Nolidae,Tathothripa,Tathothripa continua,,Tathothripa continua,Tathothripa continua,99,ACCEPTED,EXACT,SPECIES,London06October2023,12
1091,1825336,Lepidoptera,Notodontidae,Netria,Netria viridescens,,Netria viridescens,Netria viridescens,99,ACCEPTED,EXACT,SPECIES,London06October2023,48
1092,1824163,Lepidoptera,Notodontidae,Parasinga,Parasinga lichenina,,Parasinga lichenina,Parasinga lichenina,99,ACCEPTED,EXACT,SPECIES,London06October2023,10
1093,6133700,Lepidoptera,Notodontidae,Stauropus,Stauropus alternus,,Stauropus alternus,Stauropus alternus,99,ACCEPTED,EXACT,SPECIES,London06October2023,60
1094,9921001,Lepidoptera,Notodontidae,Syntypistis,Syntypistis pallidifascia,,Syntypistis pallidifascia,Syntypistis pallidifascia,99,ACCEPTED,EXACT,SPECIES,London06October2023,41
1095,11755685,Lepidoptera,Notodontidae,Chadisra,Chadisra basivacua,,Chadisra basivacua,Chadisra basivacua,99,ACCEPTED,EXACT,SPECIES,London06October2023,6
1096,1822945,Lepidoptera,Notodontidae,Brykia,Brykia horsfieldi,,Brykia horsfieldi,Brykia horsfieldi,98,ACCEPTED,EXACT,SPECIES,London06October2023,7
1097,9877483,Lepidoptera,Notodontidae,Brykia,Brykia samarinda,,Brykia samarinda,Brykia samarinda,99,ACCEPTED,EXACT,SPECIES,London06October2023,2
1098,1822473,Lepidoptera,Notodontidae,Calyptronotum,Calyptronotum singapura,,Calyptronotum singapura,Calyptronotum singapura,99,ACCEPTED,EXACT,SPECIES,London06October2023,14
1099,1822297,Lepidoptera,Notodontidae,Caschara,Caschara punctifera,,Caschara punctifera,Caschara punctifera,99,ACCEPTED,EXACT,SPECIES,London06October2023,1
1100,1825442,Lepidoptera,Notodontidae,Oxoia,Oxoia smaragdiplena,"Walker,1862",Oxoia smaragdiplena,Oxoia smaragdiplena,99,ACCEPTED,EXACT,SPECIES,London06October2023,13
1101,10365797,Lepidoptera,Notodontidae,Semidonta,Semidonta nigribasis,,Semidonta nigribasis,Semidonta nigribasis,99,ACCEPTED,EXACT,SPECIES,London06October2023,5
1102,1836899,Lepidoptera,Oecophoridae,Hofmannophila,Hofmannophila pseudospretella,,Hofmannophila pseudospretella,Hofmannophila pseudospretella,99,ACCEPTED,EXACT,SPECIES,London06October2023,1000
1103,1833407,Lepidoptera,Xyloryctidae,Caenorycta,Caenorycta anholochrysa,,Caenorycta anholochrysa,Caenorycta anholochrysa,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1104,1758003,Lepidoptera,Phaudidae,Phauda,Phauda flammans,,Phauda flammans,Phauda flammans,99,ACCEPTED,EXACT,SPECIES,London06October2023,357
1105,1831136,Lepidoptera,Plutellidae,Plutella,Plutella xylostella,,Plutella xylostella,Plutella xylostella,99,ACCEPTED,EXACT,SPECIES,London06October2023,1000
1106,1830812,Lepidoptera,Praydidae,Prays,Prays nephelomima,,Prays nephelomima,Prays nephelomima,99,ACCEPTED,EXACT,SPECIES,London06October2023,86
1107,5122433,Lepidoptera,Psychidae,Eumeta,Eumeta minuscula,,Eumeta minuscula,Eumeta minuscula,99,ACCEPTED,EXACT,SPECIES,London06October2023,4
1108,5122430,Lepidoptera,Psychidae,Eumeta,Eumeta variegata,,Eumeta variegata,Eumeta variegatus,97,ACCEPTED,FUZZY,SPECIES,London06October2023,82
1109,1854143,Lepidoptera,Psychidae,Cryptothelea,Cryptothelea gloverii,,Cryptothelea gloverii,Cryptothelea gloverii,99,ACCEPTED,EXACT,SPECIES,London06October2023,399
