accepted_taxon_key,order_name,family_name,genus_name,species_name_provided,authority_name_provided,search_species_name,gbif_species_name,confidence,status,match_type,rank,source,n_imgs
1859534,Lepidoptera,Pterophoridae,Marasmarcha,Marasmarcha lunaedactyla,"Haworth, 1811",Marasmarcha lunaedactyla,Marasmarcha lunaedactyla,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
7642240,Lepidoptera,Pterophoridae,Merrifieldia,Merrifieldia baliodactylus,"Zeller, 1841",Merrifieldia baliodactylus,Merrifieldia baliodactylus,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
8200050,Lepidoptera,Pterophoridae,Merrifieldia,Merrifieldia leucodactyla,"Denis & Schiffermüller, 1775",Merrifieldia leucodactyla,Merrifieldia leucodactyla,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
7547455,Lepidoptera,Pterophoridae,Merrifieldia,Merrifieldia tridactyla,"Linnaeus, 1758",Merrifieldia tridactyla,Merrifieldia tridactyla,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1859952,Lepidoptera,Pterophoridae,Oidaematophorus,Oidaematophorus lithodactyla,"Treitschke, 1833",Oidaematophorus lithodactyla,Oidaematophorus lithodactyla,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1860063,Lepidoptera,Pterophoridae,Crombrugghia,Oxyptilus distans,"Zeller, 1847",Oxyptilus distans,Crombrugghia distans,99,SYNONYM,EXACT,SPECIES,London06October2023,0
1860072,Lepidoptera,Pterophoridae,Crombrugghia,Oxyptilus laetus,"Zeller, 1847",Oxyptilus laetus,Crombrugghia laetus,99,SYNONYM,EXACT,SPECIES,London06October2023,0
1858893,Lepidoptera,Pterophoridae,Oxyptilus,Oxyptilus parvidactyla,"Haworth, 1811",Oxyptilus parvidactyla,Oxyptilus parvidactyla,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1858873,Lepidoptera,Pterophoridae,Oxyptilus,Oxyptilus pilosellae,"Zeller, 1841",Oxyptilus pilosellae,Oxyptilus pilosellae,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1860076,Lepidoptera,Pterophoridae,Crombrugghia,Oxyptilus tristis,,Oxyptilus tristis,Crombrugghia tristis,99,SYNONYM,EXACT,SPECIES,London06October2023,0
