accepted_taxon_key,order_name,family_name,genus_name,species_name_provided,authority_name_provided,search_species_name,gbif_species_name,confidence,status,match_type,rank,source,n_imgs
-1,NotAvail,NotAvail,NotAvail,Thacona costivitta,,Thacona costivitta,NotAvail,100,NotAvail,NONE,NotAvail,London06October2023,0
-1,NotAvail,NotAvail,NotAvail,Thacona fallax,,Thacona fallax,NotAvail,100,NotAvail,NONE,NotAvail,London06October2023,0
1822945,Lepidoptera,Notodontidae,Brykia,Brykia horsfieldi,,Brykia horsfieldi,Brykia horsfieldi,98,ACCEPTED,EXACT,SPECIES,London06October2023,7
9877483,Lepidoptera,Notodontidae,Brykia,Brykia samarinda,,Brykia samarinda,Brykia samarinda,99,ACCEPTED,EXACT,SPECIES,London06October2023,2
-1,NotAvail,NotAvail,NotAvail,Spatalia benderi,,Spatalia benderi,NotAvail,100,NotAvail,NONE,NotAvail,London06October2023,0
-1,NotAvail,NotAvail,NotAvail,Neostauropus alternus,"Walker, 1855","Neostauropus alternus Walker, 1855",NotAvail,100,NotAvail,NONE,NotAvail,London06October2023,0
1822473,Lepidoptera,Notodontidae,Calyptronotum,Calyptronotum singapura,,Calyptronotum singapura,Calyptronotum singapura,99,ACCEPTED,EXACT,SPECIES,London06October2023,14
1822297,Lepidoptera,Notodontidae,Caschara,Caschara punctifera,,Caschara punctifera,Caschara punctifera,99,ACCEPTED,EXACT,SPECIES,London06October2023,1
1825442,Lepidoptera,Notodontidae,Oxoia,Oxoia smaragdiplena,"Walker,1862",Oxoia smaragdiplena,Oxoia smaragdiplena,99,ACCEPTED,EXACT,SPECIES,London06October2023,13
10365797,Lepidoptera,Notodontidae,Semidonta,Semidonta nigribasis,,Semidonta nigribasis,Semidonta nigribasis,99,ACCEPTED,EXACT,SPECIES,London06October2023,5
1836899,Lepidoptera,Oecophoridae,Hofmannophila,Hofmannophila pseudospretella,,Hofmannophila pseudospretella,Hofmannophila pseudospretella,99,ACCEPTED,EXACT,SPECIES,London06October2023,1000
1833407,Lepidoptera,Xyloryctidae,Caenorycta,Caenorycta anholochrysa,,Caenorycta anholochrysa,Caenorycta anholochrysa,99,ACCEPTED,EXACT,SPECIES,London06October2023,0
1758003,Lepidoptera,Phaudidae,Phauda,Phauda flammans,,Phauda flammans,Phauda flammans,99,ACCEPTED,EXACT,SPECIES,London06October2023,357
1831136,Lepidoptera,Plutellidae,Plutella,Plutella xylostella,,Plutella xylostella,Plutella xylostella,99,ACCEPTED,EXACT,SPECIES,London06October2023,1000
1830812,Lepidoptera,Praydidae,Prays,Prays nephelomima,,Prays nephelomima,Prays nephelomima,99,ACCEPTED,EXACT,SPECIES,London06October2023,86
5122433,Lepidoptera,Psychidae,Eumeta,Eumeta minuscula,,Eumeta minuscula,Eumeta minuscula,99,ACCEPTED,EXACT,SPECIES,London06October2023,4
5122430,Lepidoptera,Psychidae,Eumeta,Eumeta variegata,,Eumeta variegata,Eumeta variegatus,97,ACCEPTED,FUZZY,SPECIES,London06October2023,82
-1,NotAvail,NotAvail,NotAvail,Oiketicus riemsdyki,,Oiketicus riemsdyki,NotAvail,100,NotAvail,NONE,NotAvail,London06October2023,0
1854143,Lepidoptera,Psychidae,Cryptothelea,Cryptothelea gloverii,,Cryptothelea gloverii,Cryptothelea gloverii,99,ACCEPTED,EXACT,SPECIES,London06October2023,399
10546013,Lepidoptera,Psychidae,Lepidoscia,Lepidoscia protorna,,Lepidoscia protorna,Lepidoscia protorna,99,ACCEPTED,EXACT,SPECIES,London06October2023,156
